"treatment","sample","hpc","analyte","experiment","concentration_ng.mL"
"a1+arg",1,"3","Ang1","a1+arg_serum",143.307
"a1+arg",2,"3","Ang1","a1+arg_serum",256.814
"a1+arg",3,"3","Ang1","a1+arg_serum",101.888
"a1+arg",4,"3","Ang1","a1+arg_serum",184.621
"a1+arg",5,"3","Ang1","a1+arg_serum",135.086
"a1+arg",6,"3","Ang1","a1+arg_serum",243.008
"a1+arg",7,"3","Ang1","a1+arg_serum",201.589
"a1+arg+cs",1,"3","Ang1","a1+arg_serum",140.777
"a1+arg+cs",2,"3","Ang1","a1+arg_serum",108.527
"a1+arg+cs",3,"3","Ang1","a1+arg_serum",116.326
"a1+arg+cs",4,"3","Ang1","a1+arg_serum",147.312
"a1+arg+cs",5,"3","Ang1","a1+arg_serum",145.942
"a1+arg+cs",6,"3","Ang1","a1+arg_serum",109.476
"a1+arg+cs",7,"3","Ang1","a1+arg_serum",157.851
"a1+arg+cs",8,"3","Ang1","a1+arg_serum",155.216
"a1+arg+cs",9,"3","Ang1","a1+arg_serum",100.728
"a1+arg+cs",10,"3","Ang1","a1+arg_serum",186.939
"a1+arg+cs",11,"3","Ang1","a1+arg_serum",153.319
"a1+arg+cs",12,"3","Ang1","a1+arg_serum",152.16
"a1+arg+cs",13,"3","Ang1","a1+arg_serum",141.937
"a1+arg+cs",14,"3","Ang1","a1+arg_serum",204.329
"a1+arg+cs",15,"3","Ang1","a1+arg_serum",196.214
"cont",1,"3","Ang1","a1+arg_serum",181.459
"cont",2,"3","Ang1","a1+arg_serum",118.75
"cont",3,"3","Ang1","a1+arg_serum",210.336
"cont",4,"3","Ang1","a1+arg_serum",170.498
"cont",5,"3","Ang1","a1+arg_serum",157.851
"cont",6,"3","Ang1","a1+arg_serum",110.53
"cs",1,"3","Ang1","a1+arg_serum",7.813
"cs",2,"3","Ang1","a1+arg_serum",81.442
"cs",3,"3","Ang1","a1+arg_serum",111.373
"cs",4,"3","Ang1","a1+arg_serum",84.814
"cs",5,"3","Ang1","a1+arg_serum",7.813
"cs",6,"3","Ang1","a1+arg_serum",11.481
"cs",7,"3","Ang1","a1+arg_serum",40.866
"cs",8,"3","Ang1","a1+arg_serum",65.844
"a1+lname",1,"3","Ang1","a1+lname_serum",325.661
"a1+lname",2,"3","Ang1","a1+lname_serum",179.919
"a1+lname",3,"3","Ang1","a1+lname_serum",301.899
"a1+lname",4,"3","Ang1","a1+lname_serum",110.216
"a1+lname",5,"3","Ang1","a1+lname_serum",500
"a1+lname",6,"3","Ang1","a1+lname_serum",383.878
"a1+lname",7,"3","Ang1","a1+lname_serum",481.7
"a1+lname",8,"3","Ang1","a1+lname_serum",415.165
"a1+lname",9,"3","Ang1","a1+lname_serum",362.492
"a1+lname",10,"3","Ang1","a1+lname_serum",472.632
"a1+lname",11,"3","Ang1","a1+lname_serum",383.878
"a1+lname+cs",1,"3","Ang1","a1+lname_serum",43.682
"a1+lname+cs",2,"3","Ang1","a1+lname_serum",231.404
"a1+lname+cs",3,"3","Ang1","a1+lname_serum",119.325
"a1+lname+cs",4,"3","Ang1","a1+lname_serum",124.077
"a1+lname+cs",5,"3","Ang1","a1+lname_serum",82.097
"a1+lname+cs",6,"3","Ang1","a1+lname_serum",69.028
"a1+lname+cs",7,"3","Ang1","a1+lname_serum",78.137
"a1+lname+cs",8,"3","Ang1","a1+lname_serum",198.533
"a1+lname+cs",9,"3","Ang1","a1+lname_serum",152.196
"a1+lname+cs",10,"3","Ang1","a1+lname_serum",173.978
"a1+lname+cs",11,"3","Ang1","a1+lname_serum",138.335
"cont",1,"3","Ang1","a1+lname_serum",322.889
"cont",2,"3","Ang1","a1+lname_serum",500
"cont",3,"3","Ang1","a1+lname_serum",463.086
"cont",4,"3","Ang1","a1+lname_serum",311.007
"cont",5,"3","Ang1","a1+lname_serum",309.027
"cont",6,"3","Ang1","a1+lname_serum",318.136
"cont",7,"3","Ang1","a1+lname_serum",359.324
"cs",1,"3","Ang1","a1+lname_serum",101.107
"cs",2,"3","Ang1","a1+lname_serum",194.968
"cs",3,"3","Ang1","a1+lname_serum",38.929
"cs",4,"3","Ang1","a1+lname_serum",90.81
"cs",5,"3","Ang1","a1+lname_serum",231.404
"cs",6,"3","Ang1","a1+lname_serum",333.582
"cs",7,"3","Ang1","a1+lname_serum",240.117
"cs",8,"3","Ang1","a1+lname_serum",165.661
"cs",9,"3","Ang1","a1+lname_serum",10.81
"cs",10,"3","Ang1","a1+lname_serum",101.107
"cont",1,NA,"Ang1","aa.lname.arg_serum",132.3
"cont",2,NA,"Ang1","aa.lname.arg_serum",87.6
"cont",3,NA,"Ang1","aa.lname.arg_serum",81.3
"cont",4,NA,"Ang1","aa.lname.arg_serum",108.9
"cont",5,NA,"Ang1","aa.lname.arg_serum",99.2
"cs",1,"2","Ang1","aa.lname.arg_serum",24
"cs",2,"2","Ang1","aa.lname.arg_serum",26
"cs",3,"2","Ang1","aa.lname.arg_serum",31.5
"cs",4,"2","Ang1","aa.lname.arg_serum",24.3
"cs",1,"4","Ang1","aa.lname.arg_serum",23.75
"cs",2,"4","Ang1","aa.lname.arg_serum",24.55
"cs",3,"4","Ang1","aa.lname.arg_serum",33.9
"cs",4,"4","Ang1","aa.lname.arg_serum",28.75
"cs",5,"4","Ang1","aa.lname.arg_serum",27.2
"lname",1,"2","Ang1","aa.lname.arg_serum",24.3
"lname",2,"2","Ang1","aa.lname.arg_serum",24.9
"lname",3,"2","Ang1","aa.lname.arg_serum",22.8
"lname",4,"2","Ang1","aa.lname.arg_serum",19
"lname",1,"4","Ang1","aa.lname.arg_serum",20.45
"lname",2,"4","Ang1","aa.lname.arg_serum",24
"lname",3,"4","Ang1","aa.lname.arg_serum",19.6
"lname",4,"4","Ang1","aa.lname.arg_serum",23.95
"lname",5,"4","Ang1","aa.lname.arg_serum",24.8
"arg",1,"4","Ang1","aa.lname.arg_serum",37
"arg",2,"4","Ang1","aa.lname.arg_serum",58.7
"arg",3,"4","Ang1","aa.lname.arg_serum",53.9
"arg",4,"4","Ang1","aa.lname.arg_serum",48.1
"arg",1,"2","Ang1","aa.lname.arg_serum",29.35
"arg",2,"4","Ang1","aa.lname.arg_serum",54.8
"arg",3,"2","Ang1","aa.lname.arg_serum",33.9
"arg",4,"2","Ang1","aa.lname.arg_serum",42.1
"arg",5,"2","Ang1","aa.lname.arg_serum",32.1
"aa",1,"2","Ang1","aa.lname.arg_serum",36.7
"aa",2,"2","Ang1","aa.lname.arg_serum",35.8
"aa",3,"2","Ang1","aa.lname.arg_serum",48.1
"aa",4,"2","Ang1","aa.lname.arg_serum",89.2
"aa",5,"2","Ang1","aa.lname.arg_serum",49.6
"aa",1,"4","Ang1","aa.lname.arg_serum",50.8
"aa",2,"4","Ang1","aa.lname.arg_serum",41.95
"aa",3,"4","Ang1","aa.lname.arg_serum",92.6
"aa",4,"4","Ang1","aa.lname.arg_serum",84.05
"aa",5,"4","Ang1","aa.lname.arg_serum",68
"cont",1,NA,"Ang2","aa.lname.arg_serum",0.588
"cont",2,NA,"Ang2","aa.lname.arg_serum",0.564
"cont",3,NA,"Ang2","aa.lname.arg_serum",0.769
"cont",4,NA,"Ang2","aa.lname.arg_serum",0.438
"cont",5,NA,"Ang2","aa.lname.arg_serum",0.473
"cs",1,"2","Ang2","aa.lname.arg_serum",0.848
"cs",2,"2","Ang2","aa.lname.arg_serum",1.323
"cs",3,"2","Ang2","aa.lname.arg_serum",0.992
"cs",4,"2","Ang2","aa.lname.arg_serum",1.201
"cs",5,"2","Ang2","aa.lname.arg_serum",0.878
"cs",1,"4","Ang2","aa.lname.arg_serum",1.302
"cs",2,"4","Ang2","aa.lname.arg_serum",0.763
"cs",3,"4","Ang2","aa.lname.arg_serum",0.906
"cs",4,"4","Ang2","aa.lname.arg_serum",0.798
"cs",5,"4","Ang2","aa.lname.arg_serum",0.895
"lname",1,"2","Ang2","aa.lname.arg_serum",0.531
"lname",2,"2","Ang2","aa.lname.arg_serum",0.396
"lname",3,"2","Ang2","aa.lname.arg_serum",0.511
"lname",4,"2","Ang2","aa.lname.arg_serum",0.505
"lname",1,"4","Ang2","aa.lname.arg_serum",0.664
"lname",2,"4","Ang2","aa.lname.arg_serum",0.548
"lname",3,"4","Ang2","aa.lname.arg_serum",0.745
"lname",4,"4","Ang2","aa.lname.arg_serum",0.512
"lname",5,"4","Ang2","aa.lname.arg_serum",0.471
"arg",1,"2","Ang2","aa.lname.arg_serum",0.383
"arg",2,"2","Ang2","aa.lname.arg_serum",0.453
"arg",3,"2","Ang2","aa.lname.arg_serum",0.578
"arg",4,"2","Ang2","aa.lname.arg_serum",0.747
"arg",1,"4","Ang2","aa.lname.arg_serum",0.842
"arg",2,"4","Ang2","aa.lname.arg_serum",0.741
"arg",3,"4","Ang2","aa.lname.arg_serum",0.57
"arg",4,"4","Ang2","aa.lname.arg_serum",0.6
"arg",5,"4","Ang2","aa.lname.arg_serum",0.466
"aa",1,"2","Ang2","aa.lname.arg_serum",0.403
"aa",2,"2","Ang2","aa.lname.arg_serum",0.443
"aa",3,"2","Ang2","aa.lname.arg_serum",0.475
"aa",4,"2","Ang2","aa.lname.arg_serum",0.694
"aa",5,"2","Ang2","aa.lname.arg_serum",0.539
"aa",1,"4","Ang2","aa.lname.arg_serum",0.428
"aa",2,"4","Ang2","aa.lname.arg_serum",0.536
"aa",3,"4","Ang2","aa.lname.arg_serum",0.523
"aa",4,"4","Ang2","aa.lname.arg_serum",0.564
