"rnaID","classification","classification_live","notes","expID","pupID","litterID","dob.pups","dob.dam","chal.date","tail.marking","sex","age.challenge","dam.age.challenge","litter.size","chal.dose","chal.status","weight.challenge","v1.date","v1.time","v1.hour.post.challenge","v1.weight","v1.score.high","v1.score.low","v2.date","v2.time","v2.hour.post.challenge","v2.weight","v2.score.high","v2.score.low","blood.cfu.per.ml","spleen.cfu.per.g.tissue","liver.cfu.per.g.tissue","lung.cfu.per.g.tissue","rnaseq"
"mS01","live",0.999992705,"too few reads","2015-11-25.no.vac.rad","R1.f.G4.2015-11-16","G4.2015-11-16","11/16/2015","9/11/2015","11/25/2015","R1","f",9,75,4,0,"non challenged",4.71,,,18,5.57,8,8,,,24.5,5.77,8,8,"NA","NA","NA","NA","yes"
"mS02","live",0.999992685,,"2015-11-25.no.vac.rad","R2.m.G4.2015-11-16","G4.2015-11-16","11/16/2015","9/11/2015","11/25/2015","R2","m",9,75,4,0,"non challenged",4.66,,,18,5.3,7,7,,,24.5,5.52,7,7,"NA","NA","NA","NA","yes"
"mS03","live",0.999995769,"too few reads","2015-11-25.no.vac.rad","R3.f.G4.2015-11-16","G4.2015-11-16","11/16/2015","9/11/2015","11/25/2015","R3","f",9,75,4,0,"non challenged",4.14,,,18,4.94,3,3,,,24.5,5.17,7,7,"NA","NA","NA","NA","yes"
"mS04","live",0.999987551,,"2015-11-26.no.vac.rad","R3.f.G9.2015-11-18","G9.2015-11-18","11/18/2015",,"11/26/2015","R3","f",8,"NA",6,0,"non challenged",4.29,,,14.5,4.64,8,8,,,17.75,5.07,7,7,"NA","NA","NA","NA","yes"
"mS05","die",0.00741631,"sac 18hr (rm)","2015-11-26.no.vac.rad","F4.f.G9.2015-11-18","G9.2015-11-18","11/18/2015",,"11/26/2015","F4","f",8,"NA",6,0.85,"challenged",4.28,,,14.5,3.98,3,2,,,17.75,3.77,2,2,"NA","NA","NA","NA","yes"
"mS06","live",0.999989411,,"2015-11-26.no.vac.rad","R4.m.G9.2015-11-18","G9.2015-11-18","11/18/2015",,"11/26/2015","R4","m",8,"NA",6,0,"non challenged",4.84,,,14.5,5.16,6,6,,,17.75,5.5,7,7,"NA","NA","NA","NA","yes"
"mS07","die",0.001522175,,"2015-12-15.no.vac.rad","R1.m.G8.2015-12-08","G8.2015-12-08","12/8/2015","8/4/2015","12/15/2015","R1","m",7,133,6,0.75,"challenged",4.36,,,17.75,4.19,3,2,,,23.67,4.05,0,0,7250000,45535714.29,28957528.96,6188118.812,"yes"
"mS08","die",0.000345944,,"2015-12-15.no.vac.rad","F2.m.G8.2015-12-08","G8.2015-12-08","12/8/2015","8/4/2015","12/15/2015","F2","m",7,133,6,0.75,"challenged",4.53,,,17.75,4.3,5,5,,,23.67,4.14,3,2,8250000,46535052.38,20616113.74,3414442.7,"yes"
"mS09","live",0.998341826,"sick control","2015-12-15.no.vac.rad","R3.m.G8.2015-12-08","G8.2015-12-08","12/8/2015","8/4/2015","12/15/2015","R3","m",7,133,6,0,"non challenged",4.3,,,17.75,4.88,8,8,,,23.67,4.92,5,5,6750000,89743.58974,83643.12268,68807.33945,"yes"
"mS10","live",0.989348755,,"2015-12-16.no.vac.rad","F1.f.G9.2015-12-09","G9.2015-12-09","12/9/2015","10/15/2015","12/16/2015","F1","f",7,62,5,0.75,"challenged",4.12,,,18.08,3.95,0,0,,,24.5,3.85,7,5,2750000,29237288.14,11432926.83,2816411.683,"yes"
"mS11","live",0.994583474,,"2015-12-16.no.vac.rad","R2.f.G9.2015-12-09","G9.2015-12-09","12/9/2015","10/15/2015","12/16/2015","R2","f",7,62,5,0,"non challenged",3.86,,,18.08,4.13,6,6,,,24.5,4.33,6,3,0,0,166745.5061,6265.66416,"yes"
"mS12","die",0.001097629,,"2015-12-16.no.vac.rad","F3.f.G9.2015-12-09","G9.2015-12-09","12/9/2015","10/15/2015","12/16/2015","F3","f",7,62,5,0.75,"challenged",4.34,,,18.08,4.12,5,3,,,24.5,4.02,0,0,"NA",61983471.07,356115107.9,17922794.12,"yes"
"mS13","live",0.990321459,,"2015-12-17.no.vac.rad","F1.f.G10.2015-12-10","G10.2015-12-10","12/10/2015","9/11/2015","12/17/2015","F1","f",7,97,5,0.75,"challenged",3.2,,,18.17,3.02,3,3,,,23.67,3,7,7,87500,556930.6931,347938.1443,86956.52174,"yes"
"mS14","live",0.99999562,"weight gain (chal)","2015-12-17.no.vac.rad","F2.f.G1.2015-12-10","G1.2015-12-10","12/10/2015","9/11/2015","12/17/2015","F2","f",7,97,5,0.75,"challenged",3.52,,,18.17,3.31,3,3,,,23.67,3.45,8,8,0,0,12116.31664,0,"yes"
"mS15","live",0.998100535,,"2015-12-17.no.vac.rad","R1.f.G1.2015-12-10","G1.2015-12-10","12/10/2015","9/11/2015","12/17/2015","R1","f",7,97,5,0,"non challenged",3.52,,,18.17,4.19,3,3,,,23.67,4.32,3,3,0,6198.347107,0,0,"yes"
"mS16","die",0.000972866,,"2015-12-29.no.vac.rad","F2.m.G4.2015-12-21","G4.2015-12-21","12/21/2015","9/24/2015","12/29/2015","F2","m",8,96,8,0.75,"challenged",3.83,,,17.95,3.69,6,2,,,24.2,3.51,0,0,11250000,5719424.46,19173412.87,1907318.452,"yes"
"mS17","live",0.928149304,,"2015-12-29.no.vac.rad","F4.f.G4.2015-12-21","G4.2015-12-21","12/21/2015","9/24/2015","12/29/2015","F4","f",8,96,8,0.75,"challenged",3.93,,,17.95,3.87,3,3,,,24.2,3.68,7,6,975000,"NA",1464323.749,244180.3679,"yes"
