LibraryName,mouseID,tissue,LibraryLayout,SamplePrep,fastq1,fastq2,fastq3,shortname,countf,libsize,alignpercent,fastq_all
mS01.liv,mS01,liver,SINGLE,KAPA,RF238.fastq.gz,RF306.fastq.gz,RF372.fastq.gz,mS01.liv,,,,
mS02.liv,mS02,liver,SINGLE,KAPA,RF239.fastq.gz,RF307.fastq.gz,RF373.fastq.gz,mS02.liv,,,,
mS03.liv,mS03,liver,SINGLE,KAPA,RF240.fastq.gz,RF308.fastq.gz,RF374.fastq.gz,mS03.liv,,,,
mS04.liv,mS04,liver,SINGLE,KAPA,RF241.fastq.gz,RF309.fastq.gz,RF375.fastq.gz,mS04.liv,,,,
mS05.liv,mS05,liver,SINGLE,KAPA,RF242.fastq.gz,RF310.fastq.gz,RF376.fastq.gz,mS05.liv,,,,
mS06.liv,mS06,liver,SINGLE,KAPA,RF243.fastq.gz,RF311.fastq.gz,RF377.fastq.gz,mS06.liv,,,,
mS07.liv,mS07,liver,SINGLE,KAPA,RF244.fastq.gz,RF312.fastq.gz,RF378.fastq.gz,mS07.liv,,,,
mS08.liv,mS08,liver,SINGLE,KAPA,RF245.fastq.gz,RF313.fastq.gz,RF379.fastq.gz,mS08.liv,,,,
mS10.liv,mS10,liver,SINGLE,KAPA,RF246.fastq.gz,RF314.fastq.gz,RF380.fastq.gz,mS10.liv,,,,
mS11.liv,mS11,liver,SINGLE,KAPA,RF247.fastq.gz,RF315.fastq.gz,RF381.fastq.gz,mS11.liv,,,,
mS12.liv,mS12,liver,SINGLE,KAPA,RF248.fastq.gz,RF316.fastq.gz,RF382.fastq.gz,mS12.liv,,,,
mS13.liv,mS13,liver,SINGLE,KAPA,RF249.fastq.gz,RF317.fastq.gz,RF383.fastq.gz,mS13.liv,,,,
mS14.liv,mS14,liver,SINGLE,KAPA,RF250.fastq.gz,RF318.fastq.gz,RF384.fastq.gz,mS14.liv,,,,
mS15.liv,mS15,liver,SINGLE,KAPA,RF251.fastq.gz,RF319.fastq.gz,RF385.fastq.gz,mS15.liv,,,,
mS16.liv,mS16,liver,SINGLE,KAPA,RF252.fastq.gz,RF320.fastq.gz,RF386.fastq.gz,mS16.liv,,,,
mS17.liv,mS17,liver,SINGLE,KAPA,RF253.fastq.gz,RF321.fastq.gz,RF387.fastq.gz,mS17.liv,,,,
mS18.liv,mS18,liver,SINGLE,KAPA,RF254.fastq.gz,RF322.fastq.gz,RF388.fastq.gz,mS18.liv,,,,
mS19.liv,mS19,liver,SINGLE,KAPA,RF255.fastq.gz,RF323.fastq.gz,RF389.fastq.gz,mS19.liv,,,,
mS20.liv,mS20,liver,SINGLE,KAPA,RF256.fastq.gz,RF324.fastq.gz,RF390.fastq.gz,mS20.liv,,,,
mS21.liv,mS21,liver,SINGLE,KAPA,RF257.fastq.gz,RF325.fastq.gz,RF391.fastq.gz,mS21.liv,,,,
mS23.liv,mS23,liver,SINGLE,KAPA,RF258.fastq.gz,RF326.fastq.gz,RF392.fastq.gz,mS23.liv,,,,
mS24.liv,mS24,liver,SINGLE,KAPA,RF259.fastq.gz,RF327.fastq.gz,RF393.fastq.gz,mS24.liv,,,,
mS25.liv,mS25,liver,SINGLE,KAPA,RF260.fastq.gz,RF328.fastq.gz,RF394.fastq.gz,mS25.liv,,,,
mS26.liv,mS26,liver,SINGLE,KAPA,RF261.fastq.gz,RF329.fastq.gz,RF395.fastq.gz,mS26.liv,,,,
mS27.liv,mS27,liver,SINGLE,KAPA,RF262.fastq.gz,RF330.fastq.gz,RF396.fastq.gz,mS27.liv,,,,
mS28.liv,mS28,liver,SINGLE,KAPA,RF263.fastq.gz,RF331.fastq.gz,RF397.fastq.gz,mS28.liv,,,,
mS29.liv,mS29,liver,SINGLE,KAPA,RF264.fastq.gz,RF332.fastq.gz,RF398.fastq.gz,mS29.liv,,,,
mS30.liv,mS30,liver,SINGLE,KAPA,RF265.fastq.gz,RF333.fastq.gz,RF399.fastq.gz,mS30.liv,,,,
mS31.liv,mS31,liver,SINGLE,KAPA,RF266.fastq.gz,RF334.fastq.gz,RF400.fastq.gz,mS31.liv,,,,
mS32.liv,mS32,liver,SINGLE,KAPA,RF267.fastq.gz,RF335.fastq.gz,RF401.fastq.gz,mS32.liv,,,,
mS33.liv,mS33,liver,SINGLE,KAPA,RF268.fastq.gz,RF336.fastq.gz,RF402.fastq.gz,mS33.liv,,,,
mS34.liv,mS34,liver,SINGLE,KAPA,RF269.fastq.gz,RF337.fastq.gz,RF403.fastq.gz,mS34.liv,,,,
mS35.liv,mS35,liver,SINGLE,KAPA,RF270.fastq.gz,RF338.fastq.gz,RF404.fastq.gz,mS35.liv,,,,
