"","unique_pup_id","sex","experiment_type","group","outcome","sac_hpc"
"1","22626_06-Aug-2020_1","m","L-Arg_Ang1_treatment","L-Arg",0,96
"2","22626_06-Aug-2020_2","f","L-Arg_Ang1_treatment","L-Arg",1,19
"3","22626_06-Aug-2020_3","f","L-Arg_Ang1_treatment","Ang1",0,96
"4","22626_06-Aug-2020_4","f","L-Arg_Ang1_treatment","Ang1",0,96
"5","22803_6-Mar-2020_1",NA,"anti-Ang2","CS",1,15.83
"6","22803_6-Mar-2020_2",NA,"anti-Ang2","CS",1,15.83
"7","22803_6-Mar-2020_3",NA,"anti-Ang2","CS",1,23.5
"8","22803_6-Mar-2020_4",NA,"anti-Ang2","CS",1,15.83
"9","22803_6-Mar-2020_7",NA,"anti-Ang2","anti-Ang2",1,15.83
"10","22804_08-May-2020_1","f","ARA_survival","CS",0,96
"11","22804_08-May-2020_2","m","ARA_survival","CS",0,96
"12","22804_08-May-2020_3","f","ARA_survival","CS + AA",0,96
"13","22804_08-May-2020_4","m","ARA_survival","CS + AA",0,96
"14","22804_08-May-2020_5","f","ARA_survival","CS + AA",0,96
"15","22806_08-May-2020_1","m","ARA_survival","CS + AA",0,96
"16","22806_08-May-2020_2","m","ARA_survival","CS + AA",0,96
"17","22806_08-May-2020_3","f","ARA_survival","CS",0,96
"18","22806_08-May-2020_4","f","ARA_survival","CS",1,17.67
"19","22806_08-May-2020_5","m","ARA_survival","CS + AA",0,96
"20","22806_08-May-2020_6","f","ARA_survival","CS + AA",0,96
"21","22806_08-May-2020_7","m","ARA_survival","CS",1,17.67
"22","22808_07-May-2020_1","f","ARA_survival","CS",1,17.67
"23","22808_07-May-2020_2","f","ARA_survival","CS",1,17.67
"24","22808_07-May-2020_3","m","ARA_survival","CS + AA",0,96
"25","22808_07-May-2020_4","m","ARA_survival","CS + AA",1,17.67
"26","22808_07-May-2020_5","m","ARA_survival","CS + AA",0,96
"27","22808_07-May-2020_6","f","ARA_survival","CS + AA",0,96
"28","22808_07-May-2020_7","m","ARA_survival","CS",1,17.58
"29","22811_27-Feb-2020_1","m","L-NAME","CS",1,14.67
"30","22811_27-Feb-2020_2","m","L-NAME","CS",0,96
"31","22811_27-Feb-2020_3","m","L-NAME","L-NAME",1,14.67
"32","22811_27-Feb-2020_4","f","L-NAME","L-NAME",1,14.67
"33","22811_27-Feb-2020_5","m","L-NAME","L-NAME",1,14.67
"34","22811_27-Feb-2020_6","f","L-NAME","L-NAME",1,14.67
"35","22812_27-Feb-2020_1","f","L-NAME","CS",1,14.5
"36","22812_27-Feb-2020_2","f","L-NAME","CS",1,14.5
"37","22812_27-Feb-2020_3","m","L-NAME","L-NAME",1,14.5
"38","22812_27-Feb-2020_4","f","L-NAME","L-NAME",0,96
"39","22813_08-May-2020_1","m","ARA_survival","CS",1,17.58
"40","22813_08-May-2020_2","f","ARA_survival","CS",1,17.58
"41","22813_08-May-2020_3","m","ARA_survival","CS + AA",1,40.75
"42","22813_08-May-2020_4","m","ARA_survival","CS + AA",1,17.58
"43","22813_08-May-2020_5","f","ARA_survival","CS + AA",0,96
"44","22813_08-May-2020_6","f","ARA_survival","CS",1,38.75
"45","22813_08-May-2020_7","f","ARA_survival","CS + AA",0,96
"46","22813_27-Feb-2020_1","f","L-NAME","CS",0,96
"47","22813_27-Feb-2020_2","m","L-NAME","CS",0,96
"48","22813_27-Feb-2020_3","m","L-NAME","CS",1,17.83
"49","22813_27-Feb-2020_4","f","L-NAME","L-NAME",1,14.42
"50","22813_27-Feb-2020_5","f","L-NAME","L-NAME",1,14.42
