"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"ENSMUSG00000045636",58.7479271811702,-1.75386936361357,0.250019167552194,-7.01493961756925,2.30048284866026e-12,2.44265268870746e-08,1.75386936361357,-3.37261903570039
"ENSMUSG00000005800",139.507326539439,-1.23778204445026,0.201789278628471,-6.13403275368871,8.56788664626917e-10,4.5486910205043e-06,1.23778204445026,-2.3583568681959
"ENSMUSG00000022122",65.9082315403993,-3.41747064888417,0.582699715951715,-5.86489156477872,4.49426306356276e-09,1.59066950696365e-05,3.41747064888417,-10.684671507005
"ENSMUSG00000027073",123.977349531358,1.44316799307662,0.261156302564327,5.52606993936569,3.2748362592155e-08,8.69305285008755e-05,1.44316799307662,2.71917309657398
"ENSMUSG00000024011",33.5153212179006,-1.67111332444753,0.305539693474007,-5.46938208075964,4.51607262265469e-08,9.59033182146951e-05,1.67111332444753,-3.18460253748001
"ENSMUSG00000025330",92.7168921281876,-1.62788854839807,0.305764654801926,-5.32399190957049,1.01514423438408e-07,0.000153982878295573,1.62788854839807,-3.09060343294917
"ENSMUSG00000026011",10.59833893125,1.85316438014635,0.3470448764833,5.33984076908141,9.30282525773571e-08,0.000153982878295573,1.85316438014635,3.61291767167702
"ENSMUSG00000052212",122.806943624139,-1.08444161101692,0.205600878194128,-5.27449892501428,1.33119298764384e-07,0.000176682589285029,1.08444161101692,-2.12055457224843
"ENSMUSG00000028497",45.5215604648773,-1.41939012328217,0.271482478222195,-5.22829367323098,1.71081612752862e-07,0.000184896021492558,1.41939012328217,-2.67472417282185
"ENSMUSG00000039959",91.7168273941344,-1.1117341510317,0.218771384649122,-5.08171648140711,3.74039410769603e-07,0.000264770030903443,1.1117341510317,-2.16105254491097
"ENSMUSG00000040907",78.0220319369075,-1.28049209958404,0.251374408874898,-5.09396364297888,3.50654039143076e-07,0.000264770030903443,1.28049209958404,-2.42921822760624
