"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"ENSMUSG00000040026",5327.71399812923,7.50485109542308,0.392867569845961,19.1027503195686,2.39530874498909e-81,2.54333882542941e-77,7.50485109542308,181.629042186415
"ENSMUSG00000053113",487.032517734075,3.3047705713083,0.229992064451991,14.3690634682665,8.09180633315111e-47,4.29593998226992e-43,3.3047705713083,9.88177749421756
"ENSMUSG00000026822",2062.02083597158,5.99070294843653,0.472016263328635,12.6917299547909,6.5717969141917e-37,2.32597798782958e-33,5.99070294843653,63.5888956421623
"ENSMUSG00000032484",641.601237164428,3.13794958749253,0.265071676293212,11.8381172646355,2.47956761013685e-32,6.58201222110826e-29,3.13794958749253,8.80272127353531
"ENSMUSG00000040809",155.968843595386,4.96334525270044,0.427359257808717,11.6139879083233,3.49907144340563e-31,7.43062811721619e-28,4.96334525270044,31.197213129544
"ENSMUSG00000052212",122.806943624139,3.56403181736113,0.310280610492136,11.4864793249834,1.5427189777691e-30,2.44083733177614e-27,3.56403181736113,11.8271602848576
"ENSMUSG00000095620",218.407989022514,4.19297097851952,0.365151166061221,11.4828360641645,1.60914120572923e-30,2.44083733177614e-27,4.19297097851952,18.2898454415148
"ENSMUSG00000056071",1515.13152613667,2.45193005187195,0.21861827683601,11.215576699981,3.4195012907052e-29,4.53853308808848e-26,2.45193005187195,5.47147592823728
"ENSMUSG00000053175",126.257604120675,2.19012388618908,0.200643161618644,10.9155172223202,9.71745828072034e-28,1.14644413360765e-24,2.19012388618908,4.56344671603699
"ENSMUSG00000054905",240.109801740422,4.07182844202222,0.378532985018401,10.7568655921076,5.50094666788944e-27,5.840905171965e-24,4.07182844202222,16.8167666618908
"ENSMUSG00000022026",132.460529046107,3.3128950977311,0.309698759260511,10.6971532777255,1.04953102341398e-26,1.01308367332815e-23,3.3128950977311,9.93758363934785
"ENSMUSG00000056054",917.803050314911,3.03263006136512,0.286010626284931,10.6032076526553,2.87931746337898e-26,2.5477160688465e-23,3.03263006136512,8.18300118793704
"ENSMUSG00000022902",262.692860932448,3.22079395063731,0.305048980248334,10.5582846007724,4.65083026262639e-26,3.67870518285071e-23,3.22079395063731,9.3229979557854
"ENSMUSG00000052684",107.045854073248,3.21087557272498,0.304223283904198,10.5543386801916,4.85043064229704e-26,3.67870518285071e-23,3.21087557272498,9.25912313530807
"ENSMUSG00000000204",542.486825878408,4.1780821154658,0.400884374188706,10.4221625597686,1.96435073247167e-25,1.39049840515895e-22,4.1780821154658,18.1020617112364
"ENSMUSG00000045551",185.486916635751,4.33818475546849,0.429848446077953,10.0923588186748,5.97169780511644e-24,3.96296795592039e-21,4.33818475546849,20.2266396881321
"ENSMUSG00000071561",319.956618994194,2.8637328823704,0.284182449100228,10.0770926967428,6.9759694910794e-24,4.35710847389889e-21,2.8637328823704,7.27896275458581
"ENSMUSG00000026073",80.2772419841125,4.17207775399464,0.418135553943994,9.97781153657519,1.9062472251377e-23,1.12447405758401e-20,4.17207775399464,18.0268791877476
"ENSMUSG00000005800",139.507326539439,2.7251299484882,0.274102202595238,9.94202134344887,2.73225757970643e-23,1.52690057796436e-20,2.7251299484882,6.61219810176246
"ENSMUSG00000000957",208.682413162245,3.81273034340646,0.385662270467828,9.88618964147419,4.77871650042788e-23,2.53702059007716e-20,3.81273034340646,14.0522607142889
"ENSMUSG00000052270",120.833110478908,4.27620572680828,0.438664682595372,9.74823343768637,1.87706105485813e-22,9.49077822880174e-20,4.27620572680828,19.3760921567517
"ENSMUSG00000020227",162.022897662843,3.22013059147439,0.331565280959706,9.71190524578996,2.68274818736892e-22,1.29479182970378e-19,3.22013059147439,9.31871217512505
