"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"ENSMUSG00000020258",524.092869579669,-1.00859475905116,0.126660876939209,-7.96295417672842,1.67979681814455e-15,2.09420269318082e-11,1.00859475905116,-2.01195042759933
"ENSMUSG00000026360",180.72556773674,1.16119837824117,0.150802539876771,7.70012480685038,1.35933396615867e-14,6.57238201794424e-11,1.16119837824117,2.23643120197464
"ENSMUSG00000057068",23.2995570700282,-3.15869727913063,0.411248323004577,-7.68075418776959,1.58154696830294e-14,6.57238201794424e-11,3.15869727913063,-8.93022966811672
"ENSMUSG00000022512",863.764700307219,-1.02687205230695,0.136522795637045,-7.52161606063912,5.41032687667267e-14,1.68626362928696e-10,1.02687205230695,-2.03760167729037
"ENSMUSG00000027800",300.199222827509,1.60468803355135,0.215822393423038,7.43522489997581,1.04390202234584e-13,2.60286530251713e-10,1.60468803355135,3.04129978876848
"ENSMUSG00000003585",368.090538298383,-1.11529314674074,0.150908390389755,-7.39053106232358,1.46243529614675e-13,2.60459726243737e-10,1.11529314674074,-2.16639024347786
"ENSMUSG00000026227",251.508844531414,-1.30513341698979,0.176355953744827,-7.40056340189236,1.3560790341881e-13,2.60459726243737e-10,1.30513341698979,-2.4710657819462
"ENSMUSG00000022661",26.1941537059537,2.08669696512843,0.283321376789549,7.36512362312297,1.7698278020691e-13,2.75805540104943e-10,2.08669696512843,4.24774442303939
"ENSMUSG00000024118",64.6209084127691,-1.2186046234794,0.166435836744937,-7.321768240015,2.44724547639489e-13,3.389978817135e-10,1.2186046234794,-2.32721519848831
"ENSMUSG00000005125",352.961410594569,1.35302796353075,0.189363935286265,7.14511958935238,8.99175722254923e-13,1.12100237293521e-09,1.35302796353075,2.55447703093688
"ENSMUSG00000040127",6.52533594901673,-3.75557679706349,0.531732370060092,-7.06290797500078,1.630537135597e-12,1.84799149722616e-09,3.75557679706349,-13.5064516091343
"ENSMUSG00000024065",137.377743294402,-1.60781730142623,0.228217272657523,-7.04511662374926,1.85306235499472e-12,1.9251773649766e-09,1.60781730142623,-3.04790365885938
"ENSMUSG00000010601",99.3214380449321,-2.18518953944303,0.314062251852826,-6.9578229365401,3.45571147279011e-12,3.25059211680731e-09,2.18518953944303,-4.54786534647274
"ENSMUSG00000026580",81.9959776680641,2.08611130888748,0.300155625599301,6.95009898522567,3.65029996272578e-12,3.25059211680731e-09,2.08611130888748,4.24602041825003
"ENSMUSG00000030643",109.396375979727,1.09498870111559,0.160481604839599,6.8231415196155,8.90708305569115e-12,6.99038504984481e-09,1.09498870111559,2.13611408643353
"ENSMUSG00000051652",175.150667583916,-1.33782595000604,0.196101530981953,-6.82210864600113,8.97137729987302e-12,6.99038504984481e-09,1.33782595000604,-2.52770123091444
"ENSMUSG00000024087",83.4083436497101,1.57440633849133,0.231853898004646,6.79051054151259,1.11737412387418e-11,8.19429600137608e-09,1.57440633849133,2.97812918939257
"ENSMUSG00000017868",46.9920951777839,-1.89869676405264,0.282416774773072,-6.72303111448774,1.77982558100029e-11,1.16784660622792e-08,1.89869676405264,-3.72876212552154
"ENSMUSG00000062410",194.750438831693,-3.1366366981776,0.466225685959104,-6.7277217721821,1.72340049354846e-11,1.16784660622792e-08,3.1366366981776,-8.79471421633486
"ENSMUSG00000036083",101.947063579024,-0.995901522353297,0.148622082279391,-6.70089872971316,2.0714156415525e-11,1.29121694016175e-08,0.995901522353297,-1.99432636633099
"ENSMUSG00000022304",149.699205433665,-1.78422946251761,0.271988121864054,-6.55995361227357,5.38245193061413e-11,3.05013764631665e-08,1.78422946251761,-3.44434453725798
"ENSMUSG00000027346",549.37326747738,1.51520341309017,0.230943601634075,6.56092397610988,5.34753808249888e-11,3.05013764631665e-08,1.51520341309017,2.8583912705489
"ENSMUSG00000026489",240.905036048221,-1.379492584778,0.211220402542759,-6.53105745548774,6.5306937860947e-11,3.53991997527142e-08,1.379492584778,-2.60176847302756
"ENSMUSG00000022766",1577.19979679734,-1.42315834275005,0.218485874880994,-6.51373157887311,7.33064458460271e-11,3.65564584144968e-08,1.42315834275005,-2.68171949867883
