"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"ENSMUSG00000040026",5327.71399812923,7.35034299929345,0.386702995358194,19.0077219145536,1.47207893934806e-80,1.56305341779977e-76,7.35034299929345,163.182552172804
"ENSMUSG00000053113",487.032517734075,3.5600256356675,0.227202578301091,15.6689491038685,2.4662342001708e-55,1.30932373687068e-51,3.5600256356675,11.7943633139365
"ENSMUSG00000026822",2062.02083597158,5.92578147510828,0.464274020784426,12.7635431013267,2.62006980525669e-37,9.27330039740519e-34,5.92578147510828,60.7908158270328
"ENSMUSG00000053175",126.257604120675,2.32444662830211,0.199918237567627,11.6269863949546,3.0052065047372e-31,7.9773206668249e-28,2.32444662830211,5.00873619490958
"ENSMUSG00000052684",107.045854073248,3.49735316640172,0.302502441936599,11.5614047411053,6.46425683545144e-31,1.14395798464706e-27,3.49735316640172,11.2929708863698
"ENSMUSG00000095620",218.407989022514,4.18172349853431,0.361555026620075,11.5659393194621,6.13165804563606e-31,1.14395798464706e-27,4.18172349853431,18.1478092852782
"ENSMUSG00000026981",708.619769869382,6.29843277133007,0.545906216806297,11.5375728970035,8.52981170520505e-31,1.29385058122667e-27,6.29843277133007,78.7076942431698
"ENSMUSG00000016496",251.997712472814,4.47225015363964,0.394938260942052,11.3239222327356,9.9900005857805e-30,1.32592282774772e-26,4.47225015363964,22.1963438695424
"ENSMUSG00000000204",542.486825878408,4.37585016204049,0.394840960863479,11.0825638567765,1.52443679209645e-28,1.79849665094223e-25,4.37585016204049,20.7616638576383
"ENSMUSG00000040809",155.968843595386,4.65658174183249,0.424734292895827,10.9635172382339,5.72309510008888e-28,6.07678237727437e-25,4.65658174183249,25.2214924341598
"ENSMUSG00000000957",208.682413162245,4.12952884301047,0.381148599271663,10.8344326881998,2.36426290217148e-27,2.28215849956879e-24,4.12952884301047,17.5029821428356
"ENSMUSG00000020826",362.803255100031,8.52130109162568,0.787872901736402,10.8155783411836,2.90454839958773e-27,2.57004124223521e-24,8.52130109162568,367.423754493813
"ENSMUSG00000032484",641.601237164428,2.80563402888932,0.26130392555861,10.7370527361634,6.81864728500081e-27,5.56926129785682e-24,2.80563402888932,6.9916551522577
"ENSMUSG00000019850",362.489471174163,3.41649829920576,0.320620837724216,10.6558835147966,1.63682968458452e-26,1.24141839935132e-23,3.41649829920576,10.6774726629532
"ENSMUSG00000058427",419.439323194618,8.70146965044962,0.818113767047539,10.6360142084542,2.0261221075322e-26,1.43422430251846e-23,8.70146965044962,416.297086216658
"ENSMUSG00000020227",162.022897662843,3.40552745799452,0.328223656930079,10.3756307203658,3.20091621470549e-25,2.12420802298393e-22,3.40552745799452,10.5965847502334
"ENSMUSG00000005413",506.38659706205,3.50793717319361,0.338463357945861,10.3643041139914,3.60371928410786e-25,2.25084066815631e-22,3.50793717319361,11.3761238639239
"ENSMUSG00000000982",310.58111162025,8.26615708537285,0.800505796187428,10.3261676864079,5.36618533894096e-25,3.16545310715973e-22,8.26615708537285,307.865647315534
"ENSMUSG00000021025",475.296286764611,2.51766939433632,0.244230876026905,10.3085630911751,6.44578217613059e-25,3.60217448137656e-22,2.51766939433632,5.72656252461994
"ENSMUSG00000018930",240.369478743859,7.82280010296294,0.768754239955406,10.1759440096444,2.53925745119728e-24,1.34809178084064e-21,7.82280010296294,226.410978203784
"ENSMUSG00000022126",403.95196910187,9.45809219560963,0.933855241431048,10.1280067573599,4.15023098725844e-24,2.09843583917667e-21,9.45809219560963,703.346697539753
"ENSMUSG00000045551",185.486916635751,4.24677637916194,0.425362218630622,9.98390593511967,1.79267739124303e-23,8.65211297282657e-21,4.24677637916194,18.984845842443
"ENSMUSG00000037405",138.360771119959,2.18756056327061,0.220149305195057,9.93671345604465,2.88178238948924e-23,1.33038110485203e-20,2.18756056327061,4.55534576505845
"ENSMUSG00000024401",139.473669663302,5.59710598717273,0.564083030831534,9.92248601933982,3.32372745070034e-23,1.47047241964734e-20,5.59710598717273,48.4057318955195
"ENSMUSG00000025026",186.703222289281,-1.87544809312796,0.189419478855193,-9.9010307939961,4.1200633335718e-23,1.74987329903461e-20,1.87544809312796,-3.66915561536798
"ENSMUSG00000031762",300.714435471599,6.20516648994456,0.632186967984554,9.81539766586294,9.66561339911756e-23,3.94728781045501e-20,6.20516648994456,73.7804401168377
"ENSMUSG00000052270",120.833110478908,4.23346347689971,0.435261829654292,9.72624564911229,2.33035464521335e-22,9.16433541587974e-20,4.23346347689971,18.81046329043
"ENSMUSG00000069516",1472.58052241778,-2.73542558489108,0.281438873278454,-9.71943055707398,2.49171028569115e-22,9.44892136195308e-20,2.73542558489108,-6.6595541095886
"ENSMUSG00000039753",217.20723850937,2.33757119944723,0.2417594398181,9.66899659101636,4.08362150349682e-22,1.49516872841825e-19,2.33757119944723,5.05450985953468
"ENSMUSG00000032369",48.4115407264133,3.64783413829388,0.379678121674777,9.60770170849751,7.41863529347103e-22,2.62570231820251e-19,3.64783413829388,12.5345138582354
"ENSMUSG00000027398",215.187093005939,3.35660848900149,0.349512349724243,9.60369066114481,7.71319881426487e-22,2.64189500031821e-19,3.35660848900149,10.2432987408426
"ENSMUSG00000026073",80.2772419841125,3.97911760192939,0.416798936809741,9.54685161240172,1.33697593867489e-21,4.43625328651563e-19,3.97911760192939,15.7700748433181
"ENSMUSG00000054905",240.109801740422,3.56984780532541,0.374370968139008,9.53558931952193,1.49036654121752e-21,4.79536725292352e-19,3.56984780532541,11.8749357726771
"ENSMUSG00000040907",78.0220319369075,-2.77628879441547,0.293373161273359,-9.46333598603649,2.98272133187477e-21,9.31486326524893e-19,2.77628879441547,-6.85087752747011
"ENSMUSG00000004040",316.930456586928,1.18894605541133,0.125803538972015,9.45081565372988,3.36200543489068e-21,1.01993639164769e-18,1.18894605541133,2.27986129626933
"ENSMUSG00000005540",12.4071527317018,-5.281901900217,0.562025507134978,-9.39797541777491,5.56230182350252e-21,1.64057002116527e-18,5.281901900217,-38.9054914923326
"ENSMUSG00000050737",165.582884411338,6.79823090527754,0.725160222173903,9.37479842026861,6.93080791227641e-21,1.98895455169057e-18,6.79823090527754,111.293915006587
"ENSMUSG00000030142",139.015658054717,3.26768816537043,0.348673031391669,9.37178350825703,7.13170793650382e-21,1.99274933867888e-18,3.26768816537043,9.63101710656739
"ENSMUSG00000005142",466.688985481388,-1.68760828162808,0.180398134373395,-9.35490983590219,8.36710500044241e-21,2.27799797165891e-18,1.68760828162808,-3.22122242401366
"ENSMUSG00000021133",164.789879275911,1.44846390601608,0.155265670879544,9.32893857226049,1.06936409461683e-20,2.83862698916037e-18,1.44846390601608,2.729173108339
"ENSMUSG00000024737",299.001617908484,3.21566583051495,0.344833977669453,9.32525806258392,1.10713838695502e-20,2.86721838846058e-18,3.21566583051495,9.28991779518489
"ENSMUSG00000055546",37.0084455454363,-3.5009001785587,0.375583844120559,-9.32122143527278,1.15008589614735e-20,2.9075266774506e-18,3.5009001785587,-11.3207699606791
"ENSMUSG00000061100",40.9783533829342,-4.18450263372502,0.449303926939888,-9.31330082562323,1.23920070271594e-20,3.05996117707858e-18,4.18450263372502,-18.1828020059347
"ENSMUSG00000030203",159.097031359102,2.34502874992626,0.252129579015619,9.30088710369433,1.39278715926598e-20,3.28635867935247e-18,2.34502874992626,5.08070517708511
"ENSMUSG00000045502",112.638035412763,6.48893067681552,0.697534888325323,9.30266110759632,1.36973729112342e-20,3.28635867935247e-18,6.48893067681552,89.817874508863
"ENSMUSG00000059089",159.542715753556,3.21206720877871,0.347012426702767,9.25634634845514,2.11547276860139e-20,4.88306301239339e-18,3.21206720877871,9.26677413750782
"ENSMUSG00000018924",313.25691210192,-4.63339010115645,0.501222232559473,-9.24418311912505,2.37044390285769e-20,5.35518582139211e-18,4.63339010115645,-24.819292770989
"ENSMUSG00000040950",7.76179716341069,-4.83306852990154,0.526605038666017,-9.17778633896962,4.40044085459135e-20,9.73414187376062e-18,4.83306852990154,-28.5035267420609
"ENSMUSG00000024679",120.762879172419,4.20081604664814,0.459959896880726,9.13300501877768,6.66237744851349e-20,1.44369640302686e-17,4.20081604664814,18.3895726244722
"ENSMUSG00000022902",262.692860932448,2.7383803231596,0.30175222872133,9.07492990114254,1.1375069837922e-19,2.41560983078112e-17,2.7383803231596,6.67320730915681
"ENSMUSG00000041797",13.9676429220458,-5.06659531062878,0.560608690867473,-9.03766815100359,1.60049397096127e-19,3.33216568307191e-17,5.06659531062878,-33.5117543899722
"ENSMUSG00000028270",366.657867007971,4.12227335924544,0.457473787357708,9.0109498580345,2.04279412391382e-19,4.15365308667634e-17,4.12227335924544,17.4151785506477
"ENSMUSG00000032232",42.5432781428107,-3.81168993350407,0.423082791800692,-9.00932396063912,2.07330583531594e-19,4.15365308667634e-17,3.81168993350407,-14.0421304786176
"ENSMUSG00000042349",436.621537940969,2.66157828880635,0.295910018255886,8.99455281877196,2.37195840510759e-19,4.66397302693193e-17,2.66157828880635,6.32724863422625
"ENSMUSG00000028645",142.164074720658,2.5318388306818,0.281795453692164,8.98466883517433,2.59514641120912e-19,5.01004810803971e-17,2.5318388306818,5.78308309041242
"ENSMUSG00000003541",72.9500223083994,3.81166980545499,0.424734410531739,8.97424298794871,2.85306908865062e-19,5.40962278273076e-17,3.81166980545499,14.0419345683859
"ENSMUSG00000032715",162.078211370224,5.10305546949549,0.570837246835121,8.93959792881113,3.90588888028226e-19,7.27591721593631e-17,5.10305546949549,34.3694645216359
"ENSMUSG00000022026",132.460529046107,2.74197986254024,0.308265621913604,8.89486101472813,5.84924572985937e-19,1.0708153648215e-16,2.74197986254024,6.68987781985129
"ENSMUSG00000042364",161.44381258202,2.05917728907211,0.231750425157632,8.8853225950783,6.37355560785676e-19,1.14702395668175e-16,2.05917728907211,4.16748581614872
"ENSMUSG00000006360",136.225790329626,-1.7752982167917,0.201244854102099,-8.82158316401484,1.12852661031182e-18,1.99711592471515e-16,1.7752982167917,-3.42308760963719
"ENSMUSG00000021614",118.824671840307,2.71442405924535,0.308258509170668,8.805674388513,1.30068132439741e-18,2.26403841023799e-16,2.71442405924535,6.56331219633005
"ENSMUSG00000026773",225.802176656736,2.5656859163666,0.292062171615409,8.78472519113202,1.56747265423236e-18,2.68442332945793e-16,2.5656859163666,5.92036415179627
"ENSMUSG00000027514",151.876744360661,3.07869243068986,0.351497190754436,8.75879668933314,1.97345695988201e-18,3.3260580952424e-16,3.07869243068986,8.44848367181401
"ENSMUSG00000043953",86.8117914372313,4.29593408461331,0.491351699472315,8.74309397774935,2.26811867854466e-18,3.76295064512299e-16,4.29593408461331,19.6428734576273
"ENSMUSG00000020400",315.76870340587,2.09726857573237,0.240653132107894,8.71490247129666,2.91009076466481e-18,4.75374519064784e-16,2.09726857573237,4.27898486396792
"ENSMUSG00000025408",282.111588964046,4.24349289953244,0.488786970804589,8.681681699795,3.89959465016278e-18,6.27362060536794e-16,4.24349289953244,18.9416867063272
"ENSMUSG00000112023",302.633211198001,2.56115372685362,0.296027601498224,8.65173961445275,5.07202648328364e-18,8.03802644768742e-16,2.56115372685362,5.90179466253626
"ENSMUSG00000030107",156.230435359616,3.9507762409073,0.457343027058695,8.63854045466897,5.69356979558734e-18,8.76149624486179e-16,3.9507762409073,15.4632990405314
"ENSMUSG00000035356",159.768692553088,3.01581203342583,0.349092585012877,8.63900341313348,5.67054819853991e-18,8.76149624486179e-16,3.01581203342583,8.0881627835545
"ENSMUSG00000041481",74.4848866809311,4.42602207141187,0.513456575037246,8.62005140569249,6.69240616077819e-18,1.01514240878776e-15,4.42602207141187,21.4963836765435
"ENSMUSG00000029581",104.323276182138,3.04584335293543,0.354080927619604,8.60211074742675,7.82632174644758e-18,1.17042090568705e-15,3.04584335293543,8.25829155425404
"ENSMUSG00000009418",25.3419238397406,-1.94371903021103,0.226257149760261,-8.59075186030833,8.64020509924484e-18,1.27419024644141e-15,1.94371903021103,-3.84696053698905
"ENSMUSG00000027737",224.495899267998,4.63693195732385,0.54110775836781,8.56933186711391,1.0408716943083e-17,1.50827637833856e-15,4.63693195732385,24.8802996763381
"ENSMUSG00000037411",231.365856839362,8.94265755939494,1.04370332975699,8.5681987442515,1.05116266714121e-17,1.50827637833856e-15,8.94265755939494,492.048787916369
"ENSMUSG00000031825",61.1535084079491,3.87404775697946,0.452362741492396,8.5640292659792,1.08990155673184e-17,1.54300996391715e-15,3.87404775697946,14.6623836700237
"ENSMUSG00000031765",329.940522461847,4.33861448802024,0.50881623269313,8.52687907588217,1.50348890990118e-17,2.10053226912247e-15,4.33861448802024,20.2326654523507
"ENSMUSG00000020377",14.9209470574837,-5.11620534389578,0.603739128524191,-8.47419870963487,2.36703099784138e-17,3.26404352403633e-15,5.11620534389578,-34.6841673081175
"ENSMUSG00000030474",165.64631085249,3.04941089576077,0.360255617194036,8.4645755686256,2.57087185790234e-17,3.4996817163086e-15,3.04941089576077,8.27873819408295
"ENSMUSG00000029379",120.572126378775,9.1023889501953,1.07634401148862,8.45676554432297,2.74895838727056e-17,3.69473926025808e-15,9.1023889501953,549.657434156117
"ENSMUSG00000045763",114.544377667614,3.64644161117227,0.432201196885932,8.43690771206875,3.25843543461419e-17,4.32475843059169e-15,3.64644161117227,12.5224210535362
"ENSMUSG00000079597",340.447238289348,2.89505091766043,0.343949390017732,8.41708402945904,3.85970837472371e-17,5.05955352133535e-15,2.89505091766043,7.43870207360395
"ENSMUSG00000037820",360.830646778586,3.24560482638027,0.386213086522768,8.40366352057552,4.32761512723521e-17,5.60373383182725e-15,3.24560482638027,9.48471764742163
"ENSMUSG00000023913",461.583739476166,2.29698975820926,0.274197889834406,8.37712412592402,5.42366390229544e-17,6.93836907404494e-15,2.29698975820926,4.91431303461452
"ENSMUSG00000010797",8.34341434998477,-5.23454603828246,0.630029712283342,-8.30841139112554,9.69917622181587e-17,1.21526715424474e-14,5.23454603828246,-37.649166954052
"ENSMUSG00000026825",7.11220256475575,-3.13476093759919,0.377315974804578,-8.30805252606325,9.72854662938436e-17,1.21526715424474e-14,3.13476093759919,-8.78328695136955
"ENSMUSG00000038067",86.9974991123768,9.03062819695724,1.08775318179434,8.30209311092104,1.02292985941768e-16,1.26296154038337e-14,9.03062819695724,522.98588407591
"ENSMUSG00000022906",117.763313770418,1.98885547279763,0.23988244589547,8.29095878764003,1.12339206681988e-16,1.37105482361995e-14,1.98885547279763,3.96921984784745
"ENSMUSG00000009549",70.7799415996865,-1.27871931756423,0.154752432294633,-8.2629998029994,1.42056474415518e-16,1.7140405060727e-14,1.27871931756423,-2.42623504026441
"ENSMUSG00000092572",15.1920719005121,-4.23437935212988,0.51302432837173,-8.25375935985185,1.53488255621657e-16,1.83116662718062e-14,4.23437935212988,-18.8224086472495
"ENSMUSG00000022122",65.9082315403993,-5.58191119724954,0.676400413323269,-8.25237697568024,1.55274710184024e-16,1.83189652525996e-14,5.58191119724954,-47.898587166874
"ENSMUSG00000071561",319.956618994194,2.31414953021515,0.280880588957927,8.23890870779179,1.73788479875709e-16,2.02778690035195e-14,2.31414953021515,4.97311409451126
"ENSMUSG00000017309",6.12109414204992,-4.8725930989314,0.59315849163414,-8.21465623042418,2.12772916322834e-16,2.45567698425636e-14,4.8725930989314,-29.2952143096276
"ENSMUSG00000020572",135.608520000264,3.12924453689657,0.382579989754119,8.17932098045093,2.85447805314077e-16,3.25901591056437e-14,3.12924453689657,8.74976662016317
"ENSMUSG00000031652",217.322570378643,1.83436053991052,0.224357896606932,8.17604625311793,2.93309438874584e-16,3.31314853401099e-14,1.83436053991052,3.56613307464981
"ENSMUSG00000025810",24.3674243778441,-1.93426560208519,0.237312170818522,-8.15072229719044,3.61756989433771e-16,4.04330075137661e-14,1.93426560208519,-3.82183528575041
"ENSMUSG00000046879",205.112825370629,2.35281601276839,0.289305960405828,8.13262198078445,4.20103111813238e-16,4.64651545961767e-14,2.35281601276839,5.10820354486268
"ENSMUSG00000025795",46.5435588142938,-2.04408470026215,0.251762936492157,-8.11908507559781,4.697111758588e-16,5.14164254151416e-14,2.04408470026215,-4.12411539384681
"ENSMUSG00000056071",1515.13152613667,1.74386607487598,0.215198481454597,8.10352407270079,5.33896570996708e-16,5.78460590902352e-14,1.74386607487598,3.34931501928465
"ENSMUSG00000035673",339.218739464724,1.32614785153778,0.165040645779779,8.03528031093211,9.33652061110662e-16,1.00136541261344e-13,1.32614785153778,2.50732298538694
"ENSMUSG00000026748",62.3085664917915,-2.37390088018493,0.295671395066951,-8.02884864681412,9.83916503977732e-16,1.03437875635996e-13,2.37390088018493,-5.18340772543946
"ENSMUSG00000052698",19.8620914278389,-3.18956424141692,0.397220698788259,-8.02970301181896,9.77089028172497e-16,1.03437875635996e-13,3.18956424141692,-9.12335364890705
"ENSMUSG00000063234",47.1563234030205,4.56112461234365,0.569350858182396,8.01109640355097,1.13690283488836e-15,1.18349355890634e-13,4.56112461234365,23.6067022469667
"ENSMUSG00000052212",122.806943624139,2.47959020634421,0.310196735796798,7.99360509057236,1.31049073597512e-15,1.35095054704697e-13,2.47959020634421,5.57739019765818
"ENSMUSG00000016529",70.3091769183295,8.68700108483324,1.08746325031663,7.98831692225364,1.36793420457613e-15,1.39660821001821e-13,8.68700108483324,412.142972372437
"ENSMUSG00000030681",174.331746218227,1.70239629666748,0.21319160763725,7.98528758019471,1.40195083055439e-15,1.41770608750728e-13,1.70239629666748,3.25441063005496
"ENSMUSG00000029082",138.343916328487,2.54764503632602,0.320710906433268,7.94374305713276,1.96169736650062e-15,1.96502855070789e-13,2.54764503632602,5.84679106003869
"ENSMUSG00000044103",88.6163475184845,4.90177798910608,0.617833230889007,7.93382055874989,2.12505076091069e-15,2.10876532517287e-13,4.90177798910608,29.8938744907843
"ENSMUSG00000001029",48.9682115885097,-2.47218936573947,0.312449810225343,-7.91227673960338,2.52723826283202e-15,2.48464961803244e-13,2.47218936573947,-5.54885216178709
"ENSMUSG00000057101",89.7454942911166,-1.88904144415523,0.238939174228695,-7.90595117043128,2.65895397502092e-15,2.59016268869469e-13,1.88904144415523,-3.70389048987033
"ENSMUSG00000027360",118.84403817871,2.07536491460753,0.262772751470267,7.89794566976765,2.8353768082453e-15,2.73691190454078e-13,2.07536491460753,4.21451002520255
"ENSMUSG00000056054",917.803050314911,2.22318605942341,0.281621297229141,7.89423982240416,2.92090035683046e-15,2.79406486385818e-13,2.22318605942341,4.66923454358441
"ENSMUSG00000021367",68.4435820438336,8.63486675627802,1.09423213174953,7.89125680532886,2.99158335214958e-15,2.83612786010038e-13,8.63486675627802,397.515348777209
"ENSMUSG00000042677",124.869990630969,2.63037266138372,0.333386211493231,7.88986637930323,3.02510257361663e-15,2.84252558643021e-13,2.63037266138372,6.19185918172956
"ENSMUSG00000040659",464.616030170156,1.89648343562074,0.240539435953814,7.88429318502635,3.16320821038988e-15,2.94622322613331e-13,1.89648343562074,3.72304598487596
"ENSMUSG00000078921",225.175075590686,3.47821258476758,0.446072655223894,7.79741269507271,6.31893249298693e-15,5.83429784439436e-13,3.47821258476758,11.1441338407147
"ENSMUSG00000052837",253.85387955476,1.56118517236609,0.200407480359196,7.7900543910234,6.69803552731933e-15,6.1310121749204e-13,1.56118517236609,2.95096165081418
"ENSMUSG00000101389",78.6276955022117,4.03979397898273,0.52009672002753,7.76738984004531,8.01199659255066e-15,7.27105810424811e-13,4.03979397898273,16.4474723122509
"ENSMUSG00000058013",122.108088231318,-1.10980019679588,0.143060855685842,-7.7575392057837,8.65931138564971e-15,7.79191256718887e-13,1.10980019679588,-2.15815756253595
"ENSMUSG00000078853",275.172181228062,2.59921606116351,0.335508493964402,7.74709465757754,9.40188713493932e-15,8.38901156292317e-13,2.59921606116351,6.05957269041133
"ENSMUSG00000027399",86.4985442541232,7.99024867631606,1.03279487001446,7.73653017486828,1.02166743880887e-14,9.04005405439384e-13,7.99024867631606,254.275504342161
"ENSMUSG00000053846",55.9577644757035,7.13532386658212,0.923181752583849,7.72905643619082,1.08346636559231e-14,9.50764121475962e-13,7.13532386658212,140.587436703774
"ENSMUSG00000020407",68.9587051457177,6.97354979445914,0.905179034596578,7.70405580324463,1.31814242613084e-14,1.14721608857846e-12,6.97354979445914,125.674644207679
