"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"ENSMUSG00000001270",316.184149855169,-1.42259287684023,0.19574157436657,-7.26770938388438,3.65634336413439e-13,2.14364702510718e-09,1.42259287684023,-2.68066860173204
"ENSMUSG00000019890",29.7804929227509,1.99396387207086,0.275455257248538,7.23879403133609,4.5269189605248e-13,2.14364702510718e-09,1.99396387207086,3.9832992614594
"ENSMUSG00000067780",220.614398786482,1.99978425559959,0.274492708386799,7.28538206844316,3.20759956105865e-13,2.14364702510718e-09,1.99978425559959,3.99940187423229
"ENSMUSG00000056481",159.131332519806,-1.32547448460182,0.190831687372819,-6.94577773141157,3.76380967725873e-12,1.33671700687844e-08,1.32547448460182,-2.5061529845221
"ENSMUSG00000028965",141.061651307645,2.22762611410903,0.322266584771925,6.91237074946995,4.76620205717452e-12,1.35417332848443e-08,2.22762611410903,4.68362676846142
"ENSMUSG00000035448",115.410075611914,-1.67985320404616,0.247920513312796,-6.77577333799209,1.23742550358458e-11,2.51126667198893e-08,1.67985320404616,-3.20395348765517
"ENSMUSG00000056174",60.4743242704063,-1.83809269336296,0.270609026464886,-6.79242934862509,1.10260818231658e-11,2.51126667198893e-08,1.83809269336296,-3.5753703601052
"ENSMUSG00000020431",19.7943805709496,-2.34372368879981,0.348618094407555,-6.72289742384932,1.78146001015782e-11,2.81193565603356e-08,2.34372368879981,-5.07611125217005
"ENSMUSG00000037892",74.5157191265313,-1.78063206492085,0.264760194410229,-6.72545232446037,1.75047801762326e-11,2.81193565603356e-08,1.78063206492085,-3.43576667360361
"ENSMUSG00000028497",106.569772640396,-1.07042487338425,0.160230077307217,-6.68054894170631,2.38048863678483e-11,3.07429287037867e-08,1.07042487338425,-2.10005174097952
"ENSMUSG00000042793",35.7656939718041,-1.53965272448465,0.230220678205905,-6.68772560520222,2.26665620877788e-11,3.07429287037867e-08,1.53965272448465,-2.90724513857899
"ENSMUSG00000023959",145.051249825582,-1.38486421292577,0.210516579314335,-6.5784092513585,4.7550794276592e-11,4.82504702495189e-08,1.38486421292577,-2.61147376958238
"ENSMUSG00000027524",107.988843775894,-1.82617382151026,0.277400809919009,-6.58315966000041,4.60554104984623e-11,4.82504702495189e-08,1.82617382151026,-3.54595400137431
"ENSMUSG00000051279",44.1469638047753,-3.09831346618428,0.470325408934662,-6.58759532724864,4.47006984724867e-11,4.82504702495189e-08,3.09831346618428,-8.56417019277088
"ENSMUSG00000024168",114.749424425095,-1.15606751981685,0.178579177957697,-6.47369717476641,9.56334749759984e-11,9.05712763672689e-08,1.15606751981685,-2.22849159521362
"ENSMUSG00000067818",568.192240809163,-1.1007715016328,0.170715564404378,-6.44798560385143,1.1334652834903e-10,1.00637548857895e-07,1.1007715016328,-2.14469352374226
"ENSMUSG00000022332",132.699580984705,-0.893764428368183,0.140388297491188,-6.36637415183615,1.93548964564598e-10,1.61738622976746e-07,0.893764428368183,-1.85801793576288
"ENSMUSG00000021573",18.3787835770944,-2.34751065313582,0.369600295313547,-6.35148478749005,2.13246507188912e-10,1.6829888228476e-07,2.34751065313582,-5.08945315974166
"ENSMUSG00000056313",83.8406623861905,-1.16972021186614,0.186353501932581,-6.2768888147287,3.454149032153e-10,2.58261269214555e-07,1.16972021186614,-2.24968063670324
"ENSMUSG00000004891",81.2453408132355,-1.61590218753738,0.258373197846309,-6.25414013917411,3.99711976992512e-10,2.79408179875515e-07,1.61590218753738,-3.06503210899787
"ENSMUSG00000024885",134.744872127576,-0.723816235768004,0.115994756836085,-6.24007718547873,4.37355030375474e-10,2.79408179875515e-07,0.723816235768004,-1.65154494984623
"ENSMUSG00000025213",311.145063890559,-0.736677748311625,0.117939341836053,-6.24624266036415,4.20443817497699e-10,2.79408179875515e-07,0.736677748311625,-1.66633416726694
"ENSMUSG00000047330",118.10561904315,1.66614836840697,0.267233884886714,6.23479454753009,4.52371402022867e-10,2.79408179875515e-07,1.66614836840697,3.173661738983
"ENSMUSG00000026014",118.742298413849,-0.687198047009346,0.11107100476034,-6.18701567067053,6.13138720497731e-10,3.62927027641282e-07,0.687198047009346,-1.61015329503435
"ENSMUSG00000045672",27.9136976190737,-1.39353606826101,0.226958007431361,-6.14006125640865,8.24896648318228e-10,4.6873927144035e-07,1.39353606826101,-2.62721827604306
"ENSMUSG00000042607",33.3564061037606,1.3008804430414,0.21297458409788,6.10814876597451,1.00793383512365e-09,5.50719540837177e-07,1.3008804430414,2.46379196258992
"ENSMUSG00000028464",262.638250196676,-1.01269079540102,0.166268816803689,-6.09068383879035,1.12429392929738e-09,5.91545168874021e-07,1.01269079540102,-2.01767078547464
"ENSMUSG00000075408",20.4994877761268,1.7755336163891,0.292124408242205,6.07800500845851,1.21686955593116e-09,5.96098238329586e-07,1.7755336163891,3.4236461886613
"ENSMUSG00000097534",37.8444702520621,1.17464615774591,0.193091553328179,6.08336375931205,1.17686924857704e-09,5.96098238329586e-07,1.17464615774591,2.25737508714999
"ENSMUSG00000035783",426.797285030311,-1.69177457278357,0.27861953445534,-6.07198836969826,1.26336084730993e-09,5.98243473229498e-07,1.69177457278357,-3.23053828569598
"ENSMUSG00000022665",196.741275380708,-1.6022897126646,0.265261300223332,-6.04042018687077,1.53713404560503e-09,7.0440407264081e-07,1.6022897126646,-3.03624816440352
"ENSMUSG00000067786",46.3756266706704,-1.76074158826927,0.295405828424472,-5.9604158714812,2.51596807042534e-09,1.11693257526445e-06,1.76074158826927,-3.38872270634731
"ENSMUSG00000020032",45.6354887735131,-1.29191334092583,0.219930140191976,-5.87419868781114,4.24893527071546e-09,1.72458212730811e-06,1.29191334092583,-2.44852570358266
"ENSMUSG00000042834",193.102288643145,-1.10371891125923,0.187757001863885,-5.87844341517218,4.14142324601903e-09,1.72458212730811e-06,1.10371891125923,-2.14907958713064
"ENSMUSG00000005800",248.997015665087,-1.43167224126518,0.245077716608737,-5.84170711672991,5.16685876890915e-09,2.03889987975343e-06,1.43167224126518,-2.697592146471
"ENSMUSG00000031613",205.028210902749,-1.00277416505756,0.17207385025191,-5.8275802138996,5.62368216000173e-09,2.1591899666212e-06,1.00277416505756,-2.0038495093097
"ENSMUSG00000025902",40.0967236924504,-1.2558879472811,0.216103543749265,-5.81151019317964,6.1911762830428e-09,2.31452237570805e-06,1.2558879472811,-2.38814088236907
"ENSMUSG00000041926",335.77393340576,-0.64996032644281,0.112480980436106,-5.77840203670713,7.54134324042924e-09,2.7469826172702e-06,0.64996032644281,-1.56912504486665
"ENSMUSG00000061758",63.4353394357019,-0.649936045407022,0.112610397275392,-5.77154562218253,7.85476856287168e-09,2.78962105510388e-06,0.649936045407022,-1.56909863619422
"ENSMUSG00000032231",1134.03182328043,-0.805066432566559,0.140720707585253,-5.7210231982299,1.05884437362822e-08,3.58141504089583e-06,0.805066432566559,-1.7472262454623
"ENSMUSG00000017737",218.448298356435,-1.37105429078348,0.241091029041046,-5.68687394233177,1.29385889001256e-08,4.27454869570197e-06,1.37105429078348,-2.58659519940982
"ENSMUSG00000021186",348.432403793868,-1.38708927937103,0.244242066967027,-5.67915796240905,1.3535943230461e-08,4.37026385299838e-06,1.38708927937103,-2.61550454928024
"ENSMUSG00000042726",768.343856159004,0.835911406120774,0.14815918574349,5.64198164242073,1.68104026836756e-08,5.19149088096294e-06,0.835911406120774,1.78498432619607
"ENSMUSG00000091243",26.4858768175436,-1.66478165469351,0.297913122480444,-5.58814476123921,2.29508292593705e-08,6.93701022252376e-06,1.66478165469351,-3.17065664572187
"ENSMUSG00000050541",15.1681188364359,-1.35195341406434,0.242533119911254,-5.57430430350725,2.48520995169115e-08,7.35518595285928e-06,1.35195341406434,-2.55257511135403
"ENSMUSG00000041577",27.2823019913918,-1.67514199733425,0.304854879369576,-5.4948833385851,3.90968783417253e-08,1.13349031371949e-05,1.67514199733425,-3.19350785113451
"ENSMUSG00000026896",734.139479790633,0.774884725848648,0.141451275131048,5.47810350334949,4.29908648559702e-08,1.1523174078187e-05,0.774884725848648,1.71105332940039
"ENSMUSG00000045930",134.407279353192,-0.845807211422759,0.154395230220833,-5.47819521505291,4.2968593329716e-08,1.1523174078187e-05,0.845807211422759,-1.79727006643184
"ENSMUSG00000046879",2237.95086519059,0.960695969309946,0.175121322889144,5.48588803156819,4.11397428137042e-08,1.1523174078187e-05,0.960695969309946,1.9462485565378
"ENSMUSG00000072875",9.39701833689185,-1.58837383054176,0.289791205881531,-5.48109741877778,4.22695636892642e-08,1.1523174078187e-05,1.58837383054176,-3.00710205422641
"ENSMUSG00000049521",202.511628365341,-0.903263790005488,0.165252427544633,-5.46596381926991,4.60398246763529e-08,1.21118842472642e-05,0.903263790005488,-1.87029233840165
"ENSMUSG00000020695",65.6208280789287,-1.19825414642023,0.219798009032043,-5.45161510651146,4.99143969440174e-08,1.28924349633947e-05,1.19825414642023,-2.29461823480556
"ENSMUSG00000047250",400.841598802847,-0.727406116156342,0.133759213932733,-5.43817576949988,5.38288578473912e-08,1.36552277603578e-05,0.727406116156342,-1.65565963188429
"ENSMUSG00000054263",299.847110922743,-0.78462489687226,0.145294593336833,-5.40023464640066,6.6553787516784e-08,1.65870720256743e-05,0.78462489687226,-1.72264437077032
"ENSMUSG00000032496",1492.18003614255,-1.10608322070385,0.205077978025599,-5.3934763320408,6.91074322604927e-08,1.69265548740096e-05,1.10608322070385,-2.15260441724193
"ENSMUSG00000032262",16.7638221296545,1.97277698360323,0.367385993111607,5.36976645977881,7.88386704830671e-08,1.77830895196145e-05,1.97277698360323,3.92522943403874
"ENSMUSG00000035186",62.2432306244496,3.12322977958192,0.580990499800448,5.37569853664501,7.62863391323458e-08,1.77830895196145e-05,3.12322977958192,8.71336379894752
"ENSMUSG00000043664",35.6000159896089,-1.12516203282949,0.209649624811257,-5.36686881191627,8.01152843344592e-08,1.77830895196145e-05,1.12516203282949,-2.18126043460201
"ENSMUSG00000045287",100.935828841041,-1.00776323346706,0.187713774284755,-5.36861632720847,7.93430076984168e-08,1.77830895196145e-05,1.00776323346706,-2.01079113463034
"ENSMUSG00000074037",35.4033878531594,1.7776559743476,0.331212613669995,5.36711435790539,8.00063326854208e-08,1.77830895196145e-05,1.7776559743476,3.42868644306721
"ENSMUSG00000049892",59.8286405857269,1.43339939950758,0.26778230165849,5.35285338362516,8.65779985599291e-08,1.88766687092171e-05,1.43339939950758,2.70082356989127
"ENSMUSG00000068696",25.0541725512467,-1.36447239175589,0.255016557058627,-5.35052471688028,8.76995730542254e-08,1.88766687092171e-05,1.36447239175589,-2.5748214484338
"ENSMUSG00000041757",83.3272944680053,-1.41589942650051,0.265067710886473,-5.34165184346777,9.21034197956337e-08,1.95286743524891e-05,1.41589942650051,-2.66826032247418
"ENSMUSG00000022661",220.807512492349,0.864944296469387,0.162051937104525,5.3374511401952,9.42622927877062e-08,1.96925019315023e-05,0.864944296469387,1.82126934525976
"ENSMUSG00000048572",33.3200505070529,2.05335531203915,0.384941469967619,5.33420135848673,9.59659857737443e-08,1.97578665782871e-05,2.05335531203915,4.15070186993353
"ENSMUSG00000022906",1214.11159516331,0.836737827679937,0.157087584333836,5.32656881336808,1.00085373405737e-07,2.03116116371699e-05,0.836737827679937,1.7860071148486
"ENSMUSG00000020407",127.963511354827,1.67316738845215,0.314679317318304,5.3170554795621,1.05459920689443e-07,2.11008962438623e-05,1.67316738845215,3.18913990412416
"ENSMUSG00000022235",43.318374728073,-1.51527949473406,0.285165367373827,-5.31368696237106,1.0742910445913e-07,2.11963591381444e-05,1.51527949473406,-2.85854201400814
"ENSMUSG00000045680",161.200258078805,-0.955767182521462,0.180024136924516,-5.30910576131362,1.10164397425201e-07,2.13371632253982e-05,0.955767182521462,-1.93961078728495
"ENSMUSG00000078920",1695.97094898166,1.27175673779951,0.239615593787567,5.30748737048806,1.11146704116533e-07,2.13371632253982e-05,1.27175673779951,2.41455401497897
"ENSMUSG00000025993",2246.88117246513,-0.891877269387619,0.169014275217298,-5.27693455621398,1.31362772374315e-07,2.45544676888094e-05,0.891877269387619,-1.85558909056272
"ENSMUSG00000027223",28.4676356942002,-0.949744850902966,0.179946424122987,-5.27793122609565,1.30650478223098e-07,2.45544676888094e-05,0.949744850902966,-1.93153102502686
"ENSMUSG00000073412",145.261550975785,-1.05015690280542,0.199622944590033,-5.26070239551938,1.43506143191714e-07,2.61365162843781e-05,1.05015690280542,-2.07075504399885
"ENSMUSG00000040253",1392.17993238426,1.12354661987618,0.214818406245594,5.23021578789515,1.69312290244222e-07,3.04462075342965e-05,1.12354661987618,2.17881940288311
"ENSMUSG00000040289",23.4379338251558,-1.21937326184548,0.23357847818099,-5.22040074642767,1.78536371520815e-07,3.13121937509222e-05,1.21937326184548,-2.32845542142948
"ENSMUSG00000078670",216.67609447081,0.994445598220692,0.190490350759487,5.22045129454498,1.78487645120165e-07,3.13121937509222e-05,0.994445598220692,1.99231476776786
"ENSMUSG00000097183",9.47365006568411,-1.26760399514631,0.24327781619423,-5.21052028078989,1.88311793113287e-07,3.26238699142361e-05,1.26760399514631,-2.40761380668833
"ENSMUSG00000026458",54.5401101871847,-1.12654641331171,0.216681148422285,-5.19909748270399,2.00258485905226e-07,3.42755668767427e-05,1.12654641331171,-2.18335453180795
"ENSMUSG00000040724",85.5581589185932,-1.08387939374804,0.208753366870922,-5.1921528739617,2.07876201860354e-07,3.47422273368022e-05,1.08387939374804,-2.11972835458333
"ENSMUSG00000042109",16.9045223496996,-1.90558363514707,0.366949596194116,-5.19303919369628,2.06888608504755e-07,3.47422273368022e-05,1.90558363514707,-3.74660435347133
"ENSMUSG00000098090",50.5773429791046,0.752766763751499,0.145244947290444,5.18273976337505,2.18650016999883e-07,3.61179318779109e-05,0.752766763751499,1.68502122457778
"ENSMUSG00000047180",240.054279347262,1.04197737582158,0.201252526371331,5.17746233853002,2.24924329987166e-07,3.67272992160652e-05,1.04197737582158,2.05904787686181
"ENSMUSG00000020838",69.8956720146239,-1.25297381576789,0.242837719492334,-5.15971661398937,2.47323918994874e-07,3.90387065915687e-05,1.25297381576789,-2.38332189259131
