"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"ENSMUSG00000018339",2285.80892232851,4.76190114660965,0.134365079418904,35.4400203326913,4.13278836287476e-275,5.87103914829988e-271,4.76190114660965,27.1315797501126
"ENSMUSG00000032715",2745.70402955724,7.17017764060107,0.287632734171408,24.9282393440246,3.67739241498065e-137,2.61205183236075e-133,7.17017764060107,144.025218929422
"ENSMUSG00000035275",309.675182341374,4.4464743477018,0.198290736534456,22.4240144820339,2.29522261388994e-111,1.08686441509735e-107,4.4464743477018,21.8032961420374
"ENSMUSG00000025044",470.050996847179,2.70810288998731,0.136503206713728,19.8391155430267,1.36844995465225e-87,4.86005001394745e-84,2.70810288998731,6.53461794752172
"ENSMUSG00000038539",1957.98743111642,3.33607846956643,0.169304104361548,19.7046520646792,1.96689521661122e-86,5.58834268943579e-83,3.33607846956643,10.0985655126196
"ENSMUSG00000021091",1434.83292093304,6.10626515868134,0.313077036677572,19.5040339703036,1.0145578299052e-84,2.40213475527222e-81,6.10626515868134,68.8920287636491
"ENSMUSG00000003617",1282.86357519499,3.85401595379298,0.206455103228651,18.6675741772517,9.0888258825472e-78,1.84451229267808e-74,3.85401595379298,14.460203532787
"ENSMUSG00000025491",758.294773358859,2.86856313587903,0.15508702389965,18.496474197191,2.20431063733487e-76,3.9143046142474e-73,2.86856313587903,7.30337412222413
"ENSMUSG00000053113",671.94113502578,3.508803355921,0.206777377334081,16.9689905209117,1.39306191405404e-64,2.19887083900574e-61,3.508803355921,11.3829560497849
"ENSMUSG00000026390",9314.18632044664,4.85786453714524,0.300512465518363,16.1652679823639,8.86515856496804e-59,1.25938442573936e-55,4.85786453714524,28.9976591413402
"ENSMUSG00000018459",309.150591709636,5.35412636482368,0.336842456317468,15.8950460798728,6.85780163474151e-57,8.85653909301254e-54,5.35412636482368,40.9027621148625
"ENSMUSG00000024679",425.915172726835,4.4737685709873,0.286748809734927,15.6016988357262,7.08825219305517e-55,8.39130922121181e-52,4.4737685709873,22.2197175244029
"ENSMUSG00000019359",650.413858536828,1.32679700748622,0.085996435534382,15.4285116498318,1.05269942722376e-53,1.15035754331852e-50,1.32679700748622,2.50845143584055
"ENSMUSG00000027220",151.965126204051,4.18993004241931,0.272978333905585,15.3489472313523,3.59980832623136e-53,3.6527769344602e-50,4.18993004241931,18.2513344088083
"ENSMUSG00000030474",562.61213868431,3.13600879291318,0.208232648161557,15.0601205939624,2.9624616201813e-51,2.80564865175304e-48,3.13600879291318,8.79088731900217
"ENSMUSG00000064293",21.0136318080225,-2.94938569584092,0.196612332976573,-15.0010207965558,7.22987790856321e-51,6.41922784806556e-48,2.94938569584092,-7.72420094162175
"ENSMUSG00000056501",836.863366732975,2.1260960018812,0.143874069450834,14.7774787353725,2.04686013549543e-49,1.71045265204989e-46,2.1260960018812,4.36534598366424
