"ID","Description","Category","GeneRatio","num","denom","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster"
"GO:0030595","leukocyte chemotaxis","cell",0.0806451612903226,15,186,"228/22777",6.66744264489335E-10,2.10357815446385E-06,1.6556312841372E-06,"Mtus1/Ednrb/Cx3cr1/Cxcr2/Anxa1/Slc12a2/Cxcl3/S100a9/Itgb2l/Retnlg/Ccl22/S100a8/Alox5/Ccr7/Cxcl2",15,"Blood"
"GO:0050727","regulation of inflammatory response","immune response",0.0967741935483871,18,186,"371/22777",1.70166645377704E-09,2.68437883083329E-06,2.11275324445266E-06,"Mmp8/Ednrb/Cx3cr1/Ace/Ggt1/Anxa1/Alox15/Ptgs2/Osm/S100a9/Pglyrp1/Alox5ap/Tnfaip3/Dagla/S100a8/Alox5/Ccr7/Stat5a",18,"Blood"
"GO:0034341","response to type II interferon","immune response",0.0645161290322581,12,186,"145/22777",2.70492065242753E-09,2.84467488613629E-06,2.23891502423739E-06,"Daxx/Socs1/Gbp9/Ccl22/Gbp4/Gbp3/Flnb/Ifitm6/Gbp6/Il12rb1/Irgm1/Tgtp1",12,"Blood"
"GO:0060326","cell chemotaxis","cell",0.0860215053763441,16,186,"306/22777",4.93762500572077E-09,3.89455172326225E-06,3.06522562855139E-06,"Mtus1/Ednrb/Cx3cr1/Cxcr2/Anxa1/Slc12a2/Cxcl3/Nrp1/S100a9/Itgb2l/Retnlg/Ccl22/S100a8/Alox5/Ccr7/Cxcl2",16,"Blood"
"GO:0007159","leukocyte cell-cell adhesion","cell",0.0967741935483871,18,186,"418/22777",1.09595425088675E-08,5.88123287145533E-06,4.62885256277025E-06,"Ctla4/Cd177/Ceacam1/Cx3cr1/Anxa1/Il7r/Socs1/S100a9/Itgb2l/Hfe/S100a8/Tnfrsf21/Nr4a3/Alox5/Ccr7/Il12rb1/Stat5a/Dusp3",18,"Blood"
"GO:0097529","myeloid leukocyte migration","cell",0.0752688172043011,14,186,"239/22777",1.11845950011829E-08,5.88123287145533E-06,4.62885256277025E-06,"Mtus1/Ednrb/Cd177/Cx3cr1/Cxcr2/Anxa1/Cxcl3/S100a9/Itgb2l/Retnlg/Ccl22/S100a8/Ccr7/Cxcl2",14,"Blood"
"GO:0019221","cytokine-mediated signaling pathway","immune response",0.0967741935483871,18,186,"428/22777",1.57657785618101E-08,7.10586162321582E-06,5.59270250034736E-06,"Ceacam1/Cx3cr1/Cxcr2/Il7r/Lifr/Socs1/Cxcl3/Osm/Ccl22/Ccrl2/Naip5/Ifitm6/Naip6/Ccr7/Cxcl2/Il12rb1/Irgm1/Stat5a",18,"Blood"
"GO:0050900","leukocyte migration","cell",0.0913978494623656,17,186,"383/22777",1.83702303225331E-08,7.24475958344901E-06,5.70202280669154E-06,"Mtus1/Ednrb/Cd177/Cx3cr1/Cxcr2/Anxa1/Slc12a2/Cxcl3/S100a9/Itgb2l/Retnlg/Ccl22/Itga6/S100a8/Alox5/Ccr7/Cxcl2",17,"Blood"
"GO:0001818","negative regulation of cytokine production","immune response",0.0806451612903226,15,186,"296/22777",2.30568468819209E-08,8.08270576805117E-06,6.36153237362006E-06,"Mmp8/Prg2/Ceacam1/Cx3cr1/Anxa1/Adcy7/Pglyrp1/Hfe/Gbp4/Gbp3/Tnfaip3/Tnfrsf21/Prg4/Ccr7/Fn1",15,"Blood"
"GO:0071346","cellular response to type II interferon","immune response",0.0537634408602151,10,186,"117/22777",4.33613983692805E-08,1.3544422339433E-05,1.06602026186413E-05,"Daxx/Socs1/Gbp9/Ccl22/Gbp4/Gbp3/Flnb/Gbp6/Il12rb1/Irgm1",10,"Blood"
