"LibraryName","mouseID","tissue","LibraryLayout","SamplePrep","fastq1","fastq2","fastq3","shortname","countf","alignpercent","fastq_all","classification","classification_live","chal.status","sex","score","libsize_globin","libsize_noglobin"
"mS01.spl","mS01","spleen","SINGLE","KAPA","RF271.fastq.gz","RF339.fastq.gz","RF405.fastq.gz","mS01.spl","mS01.spl.count",NA,NA,"live",0.999992705,"control","f","Control",6489359,5967167
"mS02.spl","mS02","spleen","SINGLE","KAPA","RF272.fastq.gz","RF340.fastq.gz","RF406.fastq.gz","mS02.spl","mS02.spl.count",NA,NA,"live",0.999992685,"control","m","Control",6393699,5707779
"mS03.spl","mS03","spleen","SINGLE","KAPA","RF273.fastq.gz","RF341.fastq.gz","RF407.fastq.gz","mS03.spl","mS03.spl.count",NA,NA,"live",0.999995769,"control","f","Control",6261633,5716939
"mS04.spl","mS04","spleen","SINGLE","KAPA","RF274.fastq.gz","RF342.fastq.gz","RF408.fastq.gz","mS04.spl","mS04.spl.count",NA,NA,"live",0.999987551,"control","f","Control",12656831,11412222
"mS06.spl","mS06","spleen","SINGLE","KAPA","RF276.fastq.gz","RF344.fastq.gz","RF410.fastq.gz","mS06.spl","mS06.spl.count",NA,NA,"live",0.999989411,"control","m","Control",11402727,10598163
"mS07.spl","mS07","spleen","SINGLE","KAPA","RF277.fastq.gz","RF345.fastq.gz","RF411.fastq.gz","mS07.spl","mS07.spl.count",NA,NA,"die",0.001522175,"challenged","m","CS_Die",14285442,13589672
"mS08.spl","mS08","spleen","SINGLE","KAPA","RF278.fastq.gz","RF346.fastq.gz","RF412.fastq.gz","mS08.spl","mS08.spl.count",NA,NA,"die",0.000345944,"challenged","m","CS_Die",7132917,6692453
"mS10.spl","mS10","spleen","SINGLE","KAPA","RF279.fastq.gz","RF347.fastq.gz","RF413.fastq.gz","mS10.spl","mS10.spl.count",NA,NA,"live",0.989348755,"challenged","f","CS_Survive",5319346,4970801
"mS12.spl","mS12","spleen","SINGLE","KAPA","RF281.fastq.gz","RF349.fastq.gz","RF415.fastq.gz","mS12.spl","mS12.spl.count",NA,NA,"die",0.001097629,"challenged","f","CS_Die",4669896,4382032
"mS13.spl","mS13","spleen","SINGLE","KAPA","RF282.fastq.gz","RF350.fastq.gz","RF416.fastq.gz","mS13.spl","mS13.spl.count",NA,NA,"live",0.990321459,"challenged","f","CS_Survive",4706997,4329513
"mS15.spl","mS15","spleen","SINGLE","KAPA","RF284.fastq.gz","RF352.fastq.gz","RF418.fastq.gz","mS15.spl","mS15.spl.count",NA,NA,"live",0.998100535,"control","f","Control",15852360,14626953
"mS16.spl","mS16","spleen","SINGLE","KAPA","RF285.fastq.gz","RF353.fastq.gz","RF419.fastq.gz","mS16.spl","mS16.spl.count",NA,NA,"die",0.000972866,"challenged","m","CS_Die",8721417,8133705
"mS17.spl","mS17","spleen","SINGLE","KAPA","RF286.fastq.gz","RF354.fastq.gz","RF420.fastq.gz","mS17.spl","mS17.spl.count",NA,NA,"live",0.928149304,"challenged","f","CS_Survive",10628615,9855414
"mS18.spl","mS18","spleen","SINGLE","KAPA","RF287.fastq.gz","RF355.fastq.gz","RF421.fastq.gz","mS18.spl","mS18.spl.count",NA,NA,"live",0.991541644,"challenged","m","CS_Survive",14413662,13655685
"mS19.spl","mS19","spleen","SINGLE","KAPA","RF288.fastq.gz","RF356.fastq.gz","RF422.fastq.gz","mS19.spl","mS19.spl.count",NA,NA,"die",0.007178388,"challenged","f","CS_Die",17953872,16884220
"mS20.spl","mS20","spleen","SINGLE","KAPA","RF289.fastq.gz","RF357.fastq.gz","RF423.fastq.gz","mS20.spl","mS20.spl.count",NA,NA,"die",0.001128409,"challenged","f","CS_Die",17789839,16891393
"mS23.spl","mS23","spleen","SINGLE","KAPA","RF291.fastq.gz","RF359.fastq.gz","RF425.fastq.gz","mS23.spl","mS23.spl.count",NA,NA,"live",0.986737339,"challenged","m","CS_Survive",11801371,10720259
"mS24.spl","mS24","spleen","SINGLE","KAPA","RF292.fastq.gz","RF360.fastq.gz","RF426.fastq.gz","mS24.spl","mS24.spl.count",NA,NA,"live",0.872524398,"control","m","Control",8253330,7496316
"mS25.spl","mS25","spleen","SINGLE","KAPA","RF293.fastq.gz","RF361.fastq.gz","RF427.fastq.gz","mS25.spl","mS25.spl.count",NA,NA,"live",0.735661841,"challenged","m","CS_Survive",2233947,2093434
"mS26.spl","mS26","spleen","SINGLE","KAPA","RF294.fastq.gz","RF362.fastq.gz","RF428.fastq.gz","mS26.spl","mS26.spl.count",NA,NA,"live",0.950994814,"challenged","m","CS_Survive",15127556,14039755
"mS27.spl","mS27","spleen","SINGLE","KAPA","RF295.fastq.gz","RF363.fastq.gz","RF429.fastq.gz","mS27.spl","mS27.spl.count",NA,NA,"live",0.729277279,"challenged","m","CS_Survive",18526662,16986577
"mS28.spl","mS28","spleen","SINGLE","KAPA","RF296.fastq.gz","RF364.fastq.gz","RF430.fastq.gz","mS28.spl","mS28.spl.count",NA,NA,"die",0.002759996,"challenged","m","CS_Die",25278208,23726129
"mS29.spl","mS29","spleen","SINGLE","KAPA","RF297.fastq.gz","RF365.fastq.gz","RF431.fastq.gz","mS29.spl","mS29.spl.count",NA,NA,"live",0.864488211,"challenged","f","CS_Survive",31732704,30310339
"mS30.spl","mS30","spleen","SINGLE","KAPA","RF298.fastq.gz","RF366.fastq.gz","RF432.fastq.gz","mS30.spl","mS30.spl.count",NA,NA,"die",0.008892256,"challenged","f","CS_Die",2345581,2208453
"mS31.spl","mS31","spleen","SINGLE","KAPA","RF299.fastq.gz","RF367.fastq.gz","RF433.fastq.gz","mS31.spl","mS31.spl.count",NA,NA,"die",0.000916238,"challenged","f","CS_Die",11780628,10909120
"mS32.spl","mS32","spleen","SINGLE","KAPA","RF300.fastq.gz","RF368.fastq.gz","RF434.fastq.gz","mS32.spl","mS32.spl.count",NA,NA,"die",0.256424475,"challenged","m","CS_Die",6855474,6416095
"mS33.spl","mS33","spleen","SINGLE","KAPA","RF301.fastq.gz","RF369.fastq.gz","RF435.fastq.gz","mS33.spl","mS33.spl.count",NA,NA,"die",0.001666983,"challenged","m","CS_Die",4206695,3634251
"mS34.spl","mS34","spleen","SINGLE","KAPA","RF302.fastq.gz","RF370.fastq.gz","RF436.fastq.gz","mS34.spl","mS34.spl.count",NA,NA,"die",0.046146146,"challenged","f","CS_Die",2975627,2406171
"mS35.spl","mS35","spleen","SINGLE","KAPA","RF303.fastq.gz","RF371.fastq.gz","RF437.fastq.gz","mS35.spl","mS35.spl.count",NA,NA,"die",0.002373463,"challenged","m","CS_Die",18430666,15454314
