"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"ENSMUSG00000018339",2285.80892232851,5.07841258891624,0.126628011003272,40.1049700510971,0,0,5.07841258891624,33.7873802615308
"ENSMUSG00000032715",2745.70402955724,7.64108925231498,0.271265627503424,28.1682914368446,1.43080939764119e-174,1.01630391514454e-170,7.64108925231498,199.61678861724
"ENSMUSG00000035275",309.675182341374,4.63663227589339,0.190456365610421,24.344853274044,6.57263412221944e-131,3.11236134467498e-127,4.63663227589339,24.8751319941668
"ENSMUSG00000003617",1282.86357519499,4.28634091320305,0.193085129385027,22.1992285312442,3.49395226798551e-109,1.24087714797505e-105,4.28634091320305,19.5126918686024
"ENSMUSG00000021091",1434.83292093304,6.50503870225731,0.294253257752777,22.1069386009063,2.71042162336651e-108,7.70084991630892e-105,6.50503870225731,90.8263313040525
"ENSMUSG00000025491",758.294773358859,3.15686265804855,0.145340403772368,21.7204753537964,1.3141231288976e-104,3.11140552818656e-101,3.15686265804855,8.91888064814317
"ENSMUSG00000025044",470.050996847179,2.63691402201709,0.128781579857001,20.4758632790895,3.53430226543584e-93,7.17261399754022e-90,2.63691402201709,6.21999759279232
"ENSMUSG00000053113",671.94113502578,3.93665335885372,0.193851108319136,20.307613368776,1.10127166915216e-91,1.95558316649695e-88,3.93665335885372,15.3126636643407
"ENSMUSG00000035448",115.410075611914,-4.88098804360339,0.252788573906033,-19.3085785808411,4.5492117589845e-83,7.18067802757042e-80,4.88098804360339,-29.4661781073431
"ENSMUSG00000023886",1688.2104785168,2.15239135018176,0.118538427009603,18.1577519162405,1.11497855880569e-73,1.58393854063937e-70,2.15239135018176,4.44564069012518
"ENSMUSG00000024679",425.915172726835,4.87985952732353,0.270187510885666,18.0610107081838,6.4628381871832e-73,8.34646175337495e-70,4.87985952732353,29.4431378539202
"ENSMUSG00000038539",1957.98743111642,2.82029958235591,0.158051939405625,17.8441314479405,3.21056106928511e-71,3.80076921252203e-68,2.82029958235591,7.06309050174835
"ENSMUSG00000025408",1310.63967333933,3.31976215875738,0.188304731722409,17.6297330841969,1.4565300804818e-69,1.59165125564035e-66,3.31976215875738,9.98499813884107
"ENSMUSG00000026390",9314.18632044664,4.91299351048378,0.279738906474741,17.5627822829407,4.74893863566448e-69,4.81881587558926e-66,4.91299351048378,30.1271753472589
"ENSMUSG00000064293",21.0136318080225,-3.5941845475965,0.206097181553069,-17.4392707387462,4.15339857175997e-68,3.93354534069481e-65,3.5941845475965,-12.0769525167761
"ENSMUSG00000018459",309.150591709636,5.54525801276106,0.320221638773108,17.3169372126352,3.50524443965824e-67,3.11221890686156e-64,5.54525801276106,46.697001598909
"ENSMUSG00000041481",2354.87244718643,4.4312357279705,0.261173675995117,16.9666246457907,1.45032306513131e-64,1.21195820372091e-61,4.4312357279705,21.5742085198881
"ENSMUSG00000038156",247.378985832237,5.23940461848515,0.310128816248528,16.89428503247,4.9568593416845e-64,3.91206354488722e-61,5.23940461848515,37.7761722125855
"ENSMUSG00000004709",238.100654722631,3.55645662288256,0.212584915136559,16.7295813091818,7.97972556168029e-63,5.96631480680159e-60,3.55645662288256,11.7652218753502
"ENSMUSG00000023067",269.450557459453,2.61186935388606,0.159191603220456,16.4070799027573,1.70196741178102e-60,1.20890745258806e-57,2.61186935388606,6.11295248744511
"ENSMUSG00000056501",836.863366732975,2.19966322238825,0.134483979688505,16.3563216041283,3.92108321736929e-60,2.6525194374261e-57,2.19966322238825,4.59372095289555
"ENSMUSG00000038530",158.054710141218,5.08626734075554,0.313497681203316,16.2242582504363,3.39797652383438e-59,2.19416611352687e-56,5.08626734075554,33.9718373051209
"ENSMUSG00000101389",166.378472990184,4.53937556781321,0.281501499506916,16.1255821932191,1.68662110849202e-58,1.04174519422773e-55,4.53937556781321,23.2534934423814
"ENSMUSG00000066363",518.349892380404,6.18390383846669,0.396455375621498,15.5979820648732,7.51316010220472e-55,4.44716468383001e-52,6.18390383846669,72.7010269636391
"ENSMUSG00000027220",151.965126204051,4.06805192266106,0.260953393804373,15.5891895612238,8.6220435908455e-55,4.89939005006205e-52,4.06805192266106,16.7728032513708
"ENSMUSG00000030474",562.61213868431,2.98441551340747,0.195044773480115,15.3011816730979,7.50809441727724e-53,4.00424287265881e-50,2.98441551340747,7.91404634273522
"ENSMUSG00000062380",265.897594081054,4.83569125375654,0.316052051938298,15.3003001375881,7.61048553863071e-53,4.00424287265881e-50,4.83569125375654,28.5553913913017
"ENSMUSG00000002083",308.900479288885,2.46053109038129,0.161999663184091,15.1884950994326,4.21485309479082e-52,2.13843582373565e-49,2.46053109038129,5.50419312414508
"ENSMUSG00000021190",2601.07182103441,2.02416339673259,0.133697110273758,15.1399188253802,8.83226497366002e-52,4.32659159364877e-49,2.02416339673259,4.0675593506547
"ENSMUSG00000069792",344.533911121396,4.56748543362652,0.307791368344114,14.8395501088907,8.12993574206674e-50,3.84979557172667e-47,4.56748543362652,23.7110136357733
"ENSMUSG00000049858",137.426012544269,-2.14192604342499,0.144435473283225,-14.8296398020233,9.42372573673215e-50,4.31849831664571e-47,2.14192604342499,-4.41350870559233
"ENSMUSG00000024644",1254.01350316331,1.2972865026787,0.0882367116390087,14.7023441669735,6.22663059178076e-49,2.76423481833867e-46,1.2972865026787,2.45766197589681
